frame;text
1;O,35b,307,oo,LR
2;O,35b,307,LR
3;O,35b,307,LR
4;O,35b,307,_oo,LR
5;O,35b,307,LR
6;O,35b,307,_oo,LR
7;O,35b,307,_oo,LR
8;O,35b,307,LR
9;O,35b,307,_oo,LR
10;O,35b,307,10,00,LR
11;O,35b,307,11.00,LR
12;O,35b,307,12,00,LR
13;O,35b,307,13,00,LR
14;O,3S5b,307,14%,00,LR
15;O,35b,307,1S.00,LR
16;O,35b,307,Ib,0O,=LR
17;O,3S5b,307,17,00,LR
18;O,35b,307,18,00,LR
19;O,3S5b,307,19,00,LR
20;O,35b,307,20,00,LR
21;O,35b,307,21,00,LR
22;O,35b,307,e2_.oo,LR
23;O,35b,307,23,00,LR
24;O,35b,307,24.00,LR
25;O,35b,307,25,00,LR
26;O,35b,307,2b_00,LR
27;O,35b,307,27,00,LR
28;O,35b,307,28,00,LR
29;O,35b,307,29,00,LR
30;O,35b,307,30,00,LR
31;
32;
33;
34;O,35b,307,34.00,LR
35;O,35b,307,35,00,LR
36;O,35b,307,3b,_00,LR
37;O,35b,307,37,00,LR
38;O,35b,307,38,00,LR
39;O,35b,307,39,00,LR
40;O,35b,307,40,00,LR
41;O,35b,307,41.00,LR
42;O,35b,307,42,00,LR
43;O,35b,307,43,00,LR
44;O,3S5b,307,4400,LR
45;O,35b,307,45.00,LR
46;O,35b,307,4b,.00,LR
47;O,3S5b,307,47,00,LR
48;O,35b,307,48,00,LR
49;O,3S5b,307,4900,LR
50;O,35b,307,so_.o00,LR
51;O,35b,307,S!1,00,LR
52;O,35b,307,se_oo,LR
53;O,35b,307,$3,000,LR
54;O,35b,307,s4.00,LR
55;O,35b,307,ss_oo,LR
56;O,35b,307,Sb_oOo,LR
57;O,35b,307,s?7,00,LR
58;O,35b,307,s6_.o00,LR
59;O,35b,307,s9.00,LR
60;O,35b,307,bO_oOO0,LR
61;O,35b,307,bI.OO,LR
62;O,35b,307,be,_oo,LR
63;O,35b,307,63,00,LR
64;O,35b,307,bY.00,LR
65;O,35b,307,bS_oOo,LR
66;O,35b,307,bb.OO,OLR
67;O,35b,307,b?7,00,LR
68;O,35b,307,be,oOo,LR
