frame;text
1;oO,358,309,oo,LR
2;oO,358,309,LR
3;oO,358,309,LR
4;oO,358,309,_oo,LR
5;oO,358,309,LR
6;oO,358,309,_oo,LR
7;oO,358,309,_oo,LR
8;oO,358,309,LR
9;oO,358,309,_oo,LR
10;o,358,309,10,00,LR
11;Oo,358,309,11,00,LR
12;o,358,309,12,00,LR
13;o,358,309,13,00,LR
14;o,358,309,14,00,LR
15;
16;o,358,309,Ib,0O,=LR
17;o,358,309,17,00,LR
18;o,358,309,18,00,LR
19;o,358,309,19,00,LR
20;Oo,359
21;Oo,359,oo
22;Oo,359
23;Oo,359
24;Oo,359,_oo
25;Oo,359
26;Oo,359,_oo
27;Oo,359,_oo
28;Oo,359
29;Oo,359,_oo
30;Oo,359
31;Oo,359,oo
32;Oo,359
33;Oo,359
34;Oo,359,_oo
35;Oo,359
36;Oo,359,_oo
37;Oo,359,_oo
38;Oo,359
39;Oo,359,_oo
40;Oo,359
41;Oo,359,oo
42;Oo,359
43;Oo,359
44;Oo,359,_oo
45;Oo,359
46;Oo,359,_oo
47;Oo,359,_oo
48;Oo,359
49;Oo,359,_oo
50;Oo,359
51;Oo,359,oo
52;Oo,359
53;Oo,359
54;Oo,359,_oo
55;Oo,359
56;Oo,359,_oo
57;Oo,359,_oo
58;Oo,359
59;Oo,359,_oo
60;Oo,359
61;Oo,359,oo
62;Oo,359
63;Oo,359
64;Oo,359,_oo
65;Oo,359
66;Oo,359,_oo
67;Oo,359,_oo
68;Oo,359
69;Oo,359,_oo
70;Oo,359
71;Oo,359,oo
72;Oo,359
73;Oo,359
74;Oo,359,_oo
75;Oo,359
76;Oo,359,_oo
77;Oo,359,_oo
78;Oo,359
79;Oo,359,_oo
80;Oo,359
81;Oo,359,oo
82;Oo,359
83;Oo,359
84;Oo,359,_oo
85;Oo,359
86;Oo,359,_oo
87;Oo,359,_oo
88;Oo,359
89;Oo,359,_oo
90;Oo,359
91;Oo,359,oo
92;Oo,359
93;Oo,359
94;Oo,359,_oo
95;Oo,359
96;Oo,359,_oo
97;Oo,359,_oo
98;Oo,359
99;Oo,359,_oo
100;Oo,359
101;Oo,359,oo
102;Oo,359
103;Oo,359
104;Oo,359,_oo
105;Oo,359
106;Oo,359,_oo
107;Oo,359,_oo
108;Oo,359
109;Oo,359,_oo
110;Oo,359
111;Oo,359,oo
112;Oo,359
113;Oo,359
114;Oo,359,_oo
115;Oo,359
116;Oo,359,_oo
117;Oo,359,_oo
118;Oo,359
119;Oo,359,_oo
120;Oo,359
121;Oo,359,oo
122;Oo,359
123;Oo,359
124;Oo,359,_oo
125;Oo,359
126;Oo,359,_oo
127;Oo,359,_oo
128;Oo,359
129;Oo,359,_oo
130;Oo,359
131;Oo,359,oo
132;Oo,359
133;Oo,359
134;Oo,359,_oo
135;Oo,359
136;Oo,359,_oo
137;Oo,359,_oo
138;Oo,359
139;Oo,359,_oo
140;Oo,359
141;Oo,359,oo
142;Oo,359
143;Oo,359
144;Oo,359,_oo
145;Oo,359
146;Oo,359,_oo
147;Oo,359,_oo
148;Oo,359
149;Oo,359,_oo
150;Oo,359
151;Oo,359,_oo
152;Oo,359
153;Oo,359
154;Oo,359,_oo
155;Oo,359
156;Oo,359,_oo
157;Oo,359,_oo
158;Oo,359
159;Oo,359,_oo
160;Oo,359
161;Oo,359,oo
162;Oo,359
163;Oo,360
164;Oo,360,oo
165;Oo,360
166;Oo,360
167;Oo,360,_oo
168;Oo,360
169;Oo,360,_oo
170;Oo,360,_oo
171;Oo,360
172;Oo,360,_oo
173;oO,3b0,Bi,10,00
174;Oo,360,oo
175;oO,3b0,Bi,12,00
176;oO,3b0,Bi,13,00
177;oO,3b0,Bi,14,00
178;oO,3b0,Bi,1S_o00
179;oO,3b0,Bi,1b,,00
180;oO,3b0,Bi,17,00
181;oO,3b0,Bi,18,00
182;oO,3b0,Bi,19,00
183;Oo,360,311,20,00
184;Oo,360,el,_oo
185;Oo,360,311,e2_.oo
186;Oo,360,311,23,00
187;oO,3b0,Bi,24,00
188;Oo,360,311,25,00
189;oO,3b0,Bi,2b_00
190;oO,3b0,Bi,27,00
191;Oo,360,311,28,00
192;oO,3b0,Bi,29_00
