frame;text
1;oO,342,ATTACKHI4,oo
2;oO,342,ATTACKHI4,oo
3;oO,342,ATTACKHI4
4;oO,342,ATTACKHI4
5;oO,342,ATTACKHI4,_oo
6;oO,342,ATTACKHI4
7;oO,342,ATTACKHI4,_oo
8;oO,342,ATTACKHI4,_oo
9;oO,342,ATTACKHI4
10;oO,342,ATTACKHI4,_oo
11;oO,342,ATTACKHI4,10,00
12;oO,342,ATTACKHI4,oo
13;oO,342,ATTACKHI4,12,00
14;oO,342,ATTACKHI4,13,00
15;oO,34e,ATTACKHI4,14,00
16;oO,342,ATTACKHI4,1S_o00
17;oO,342,ATTACKHI4,1b,00
18;oO,34e,ATTACKHI4,17,00
19;oO,342,ATTACKHI4,18,00
20;0,342,ATTACKHI4,19,00
21;oO,342,ATTACKHI4,20,00
22;oO,342,ATTACKHI4,el,_oo
23;oO,342,ATTACKHI4,e2_.oo
24;oO,342,ATTACKHI4,23,00
25;oO,342,ATTACKHI4,24,00
26;oO,342,ATTACKHI4,25,00
27;oO,342,ATTACKHI4,2b_00
28;oO,342,ATTACKHI4,27,00
29;oO,342,ATTACKHI4,28,00
30;oO,342,ATTACKHI4,29_00
31;oO,342,ATTACKHI4,30,00
32;oO,342,ATTACKHI4,31,_oo
33;oO,342,ATTACKHI4,32,00
34;oO,342,ATTACKHI4,33,00
35;oO,342,ATTACKHI4,34,_o0
36;oO,342,ATTACKHI4,3s_o00
37;oO,342,ATTACKHI4,3b,,00
38;oO,342,ATTACKHI4,37,00
39;oO,342,ATTACKHI4,38,00
40;oO,342,ATTACKHI4,3900
41;oO,342,ATTACKHI4,40_00
42;oO,342,ATTACKHI4,4!,oo
43;oO,342,ATTACKHI4,42_00
44;oO,342,ATTACKHI4,43,00
45;oO,342,ATTACKHI4,4400
46;oO,342,ATTACKHI4,4S_00
47;oO,342,ATTACKHI4,4b_00
48;oO,342,ATTACKHI4,47,00
