frame;text
1;Oo,357,30S,oo
2;Oo,357,30S
3;Oo,357,30S
4;Oo,357,30S,_oo
5;Oo,357,30S
6;Oo,357,30S,_oo
7;Oo,357,30S,_oo
8;Oo,357,30S
9;Oo,357,30S,_oo
10;Oo,357,305,10,00
11;Oo,357,30S,oo
12;Oo,357,305,12,00
13;Oo,357,305,13,00
14;Oo,357,305,14,00
15;Oo,357,305,15,00
16;Oo,357,305,1b,00
17;Oo,357,305,17,00
18;Oo,357,305,16,00
19;Oo,357,305,19,00
20;Oo,357,305,20,00
21;Oo,357,30S,el,_oo
22;Oo,357,305,e2_.oo
23;Oo,357,305,23,00
24;Oo,357,305,e+,oo
25;Oo,357,305,25,00
26;Oo,357,305,2b_00
27;Oo,357,305,27,00
28;Oo,357,305,28,00
29;Oo,357,305,29,00
30;Oo,357,305,30,00
31;Oo,357,30S,31,_oo
32;Oo,360,304
33;Oo,360,304,oo
34;Oo,360,304
35;Oo,360,304
36;Oo,360,304,_oo
37;Oo,360,304
38;Oo,360,304,_oo
39;Oo,360,304,_oo
40;Oo,360,304
41;Oo,360,304,_oo
42;oO,3b0,304,10,00
43;Oo,360,304,oo
44;oO,3b0,304,12,00
45;oO,3b0,304,13,00
46;oO,3b0,304,14,00
47;oO,3b0,304,1S_o00
48;oO,3b0,304,1b,,00
49;oO,3b0,304,17,00
50;oO,3b0,304,18,00
51;oO,3b0,304,19,00
52;Oo,360,304,20,00
53;Oo,360,304,el,_oo
54;Oo,360,304,e2_.oo
55;Oo,360,304,23,00
