frame;text
1;O,ATTACKAIRG,ATTACKAIRB,oo
2;O,ATTACKAIRG,ATTACKAIRG
3;O,ATTACKAIRG,ATTACKAIRB
4;O,ATTACKAIRG,ATTACKAIRB,_oo
5;O,ATTACKAIRG,ATTACKAIRB
6;O,ATTACKAIRG,ATTACKAIRB,_oo
7;O,ATTACKAIRG,ATTACKAIRB,_oo
8;O,ATTACKAIRG,ATTACKAIRB
9;O,ATTACKAIRG,ATTACKAIRB,_oo
10;O,ATTACKAIRG,ATTACKAIRB,10,00
11;O,ATTACKAIRG,ATTACKAIRB,oo
12;O,ATTACKAIRG,ATTACKAIRB,12,00
13;O,ATTACKAIRG,ATTACKAIRB,13,00
14;O,ATTACKAIRG,ATTACKAIRB,14,00
15;O,ATTACKAIRG,ATTACKAIRB,15,00
16;O,ATTACKAIRG,ATTACKAIRB,1b,00
17;O,ATTACKAIRG,ATTACKAIRB,17,00
18;O,ATTACKAIRG,ATTACKAIRB,16,00
19;O,ATTACKAIRG,ATTACKAIRB,19,00
20;O,ATTACKAIRG,ATTACKAIRB,20,00
21;O,ATTACKAIRG,ATTACKAIRB,el,_oo
22;oo"ze,BUIVADVLLV,BMIVaADVLIV,Oo
23;oo"cea,BUIVADVLLV,BMIVaADVLIV,Oo
24;00",2,BYIVADVLIV,euIvaovilv,O
25;O,ATTACKAIRG,ATTACKAIRB,25,00
26;O,ATTACKAIRG,ATTACKAIRG,2b_00
27;O,ATTACKAIRG,ATTACKAIRG,e7,00
28;O,ATTACKAIRG,ATTACKAIRB,28,00
29;O,ATTACKAIRG,ATTACKAIRB,29,00
30;O,ATTACKAIRG,ATTACKAIRB,30,00
31;O,ATTACKAIRG,ATTACKAIRB,31,_oo
32;00,"2e,BUIVADVLLV,BMIVaADVLIV,Oo
33;O,ATTACKAIRG,ATTACKAIRG,33,00
34;O,ATTACKAIRG,ATTACKAIRG,34,_o00
35;O,ATTACKAIRG,ATTACKAIRB,35,00
36;O,ATTACKAIRG,ATTACKAIRB,3b,_00
37;oo,"ze,BUIVADVLLV,BMIVaADVLIV,Oo
38;O,ATTACKAIRG,ATTACKAIRG,38,00
39;O,ATTACKAIRG,ATTACKAIRG,39,00
40;O,ATTACKAIRG,ATTACKAIRG,40,00
41;O,ATTACKAIRG,ATTACKAIRG,4!,oo
42;O,ATTACKAIRG,ATTACKAIRG,42,00
43;O,ATTACKAIRG,ATTACKAIRG,43,00
