frame;text
1;oO,352,301,oo
2;oO,352,301
3;oO,352,301
4;oO,352,301,_oo
5;oO,352,301
6;oO,352,301,_oo
7;oO,352,301,_oo
8;oO,352,301
9;oO,352,301,_oo
10;oO,352,301,10,00
11;oO,352,301,oo
12;oO,352,301,12,00
13;oO,352,301,13,00
14;oO,352,301,14,00
15;oO,352,301,1S_o00
16;oO,352,301,1b,,00
17;oO,352,301,17,00
18;oO,352,301,18,00
19;oO,352,301,19,00
20;oO,352,301,20,00
21;oo,el,301,oO,352
22;oO,352,301,e2_.oo
23;oo,ea,301,oO,352
24;oo,eu,301,oO,352
25;oO,352,301,25,00
26;oO,352,301,2b_00
27;oO,352,301,27,00
28;oO,352,301,28,00
