frame;text
1;O,ATTACKAIRF,ATTACKAIRE,oo
2;O,ATTACKAIRF,ATTACKAIRF
3;O,ATTACKAIRF,ATTACKAIRF
4;O,ATTACKAIRF,ATTACKAIRE,_oo
5;O,ATTACKAIRF,ATTACKAIRF
6;O,ATTACKAIRF,ATTACKAIRF,_oo
7;O,ATTACKAIRF,ATTACKAIRE,_oo
8;O,ATTACKAIRF,ATTACKAIRE
9;O,ATTACKAIRF,ATTACKAIRE,_oo
10;O,ATTACKAIRF,ATTACKAIRE,10,00
11;O,ATTACKAIRF,ATTACKAIRE,oo
12;O,ATTACKAIRF,ATTACKAIRE,12,00
13;O,ATTACKAIRF,ATTACKAIRE,13,00
14;O,ATTACKAIRF,ATTACKAIRE,14,00
15;O,ATTACKAIRF,ATTACKAIRE,15,00
16;O,ATTACKAIRF,ATTACKAIRFE,1b,00
17;O,ATTACKAIRF,ATTACKAIRE,17,00
18;O,ATTACKAIRF,ATTACKAIRE,16,00
19;O,ATTACKAIRF,ATTACKAIRE,19,00
20;O,ATTACKAIRF,ATTACKAIRE,20,00
21;O,ATTACKAIRF,ATTACKAIRE,el,_oo
22;oo"ze,JMIVADVLLV,JMIVaDVLIv,oO
23;oo"cea,JMIVADVLLV,JMIVaDVLIv,oO
24;00",2,JMNIVADVLIV,JuIVaDVLIV,oO
25;oo"sa,JSULVADVLLV,JMIVADVLIV,O
26;oo,"92,JMNIVADVLIV,JuIVaDVLIV,oO
27;oo"2ea,JSULVADVLLV,JMIVADVLIV,O
28;O,ATTACKAIRF,ATTACKAIRE,28,00
29;O,ATTACKAIRF,ATTACKAIRE,29,00
30;00,"OE,JSULVADVLLV,JMIVADVLIV,O
31;O,ATTACKAIRF,ATTACKAIRE,31,_oo
32;00,"2e,JSULVADVLLV,JMIVADVLIV,O
33;O,ATTACKAIRF,ATTACKAIRE,33,00
34;O,ATTACKAIRF,ATTACKAIRE,34,_o00
35;O,ATTACKAIRF,ATTACKAIRE,35,00
36;O,ATTACKAIRF,ATTACKAIRE,3b,_00
37;oo,"ze,JMIVADVLLV,JMIVaDVLIv,oO
38;O,ATTACKAIRF,ATTACKAIRE,38,00
39;O,ATTACKAIRF,ATTACKAIRF,39,00
40;O,ATTACKAIRF,ATTACKAIRF,40,00
41;O,ATTACKAIRF,ATTACKAIRF,4!,oo
42;O,ATTACKAIRF,ATTACKAIRF,42,00
43;O,ATTACKAIRF,ATTACKAIRF,43,00
44;O,ATTACKAIRF,ATTACKAIRFE,44,_00
45;O,ATTACKAIRF,ATTACKAIRE,4+S_00
46;O,ATTACKAIRF,ATTACKAIRFE,+b_OO
47;oo"2h,JMIVADVLLV,JMIVaDVLIv,oO
48;O,ATTACKAIRF,ATTACKAIRE,46,00
49;O,ATTACKAIRF,ATTACKAIRE,49,00
50;O,ATTACKAIRF,ATTACKAIRE,so_.o00
51;O,ATTACKAIRF,ATTACKAIRF,si,_oo
52;O,ATTACKAIRF,ATTACKAIRF,se_oo
53;O,ATTACKAIRF,ATTACKAIRF,$3,000
