frame;text
1;Oo,3494,278,oo
2;Oo,3494,278,oo
3;Oo,3494,278
4;Oo,3494,278
5;Oo,3494,278,_oo
6;Oo,3494,278
7;Oo,3494,278,_oo
8;Oo,3494,278,_oo
9;Oo,3494,278
10;Oo,3494,278,_oo
11;o,3449,298,10,00
12;Oo,3494,278,oo
13;La,o,3449,298,12,00
14;La,o,3449,298,13,00
15;o,3449,298,14%,00
16;La,o,3449,298,1S_o00
17;o,3449,298,1b,,00
18;o,3449,298,17,00
19;La,o,3449,298,18,00
20;o,3449,298,19,00
21;20_00,278,Oo,3494
22;o,34a,3,298,21,00
23;o,349,298,22_00
24;o,349,298,23_00
25;349,298,24,00
26;o,349,298,2s_o0
27;o,349,298,2b_00
28;o,34a,3,298,27,00
29;o,349,298,28_00
30;o,34a,3,298,29_00
31;o,349,298,30,00
32;Oo,3494,278,31,_oo
33;o,349,298,32,00
34;o,349,298,33,00
35;o,34a,3,298,34,oo
36;o,349,298,3s_o00
37;o,349,298,3b,,00
38;o,34a,3,298,37,00
39;o,349,298,38,00
40;o,34a,3,298,39,00
41;+,o,3449,298,40,00
42;Oo,3494,278,4!,oo
43;+,o,3449,298,42,00
44;+,o,3449,298,43,00
45;o,3449,298,4400
46;+,o,3449,298,45,00
