frame;text
1;O,365,oo
2;O,365
3;O,365
4;O,365,_oo
5;O,365
6;O,365,_oo
7;O,365,_oo
8;O,365
9;O,365,_oo
10;O,3bS,B12,10,00
11;O,365,oo
12;O,3bS,B12,12,00
13;O,3bS,B12,13,00
14;O,3bS,B12,14,00
15;O,3bS,B12,1S_o00
16;O,3bS,B12,1b,,00
17;O,3bS,B12,17,00
18;O,3bS,B12,18,00
19;O,3bS,B12,19,00
20;O,365,312,20,00
21;O,365,el,_oo
22;O,365,312,e2_.oo,a?
23;O,365,312,23,00
24;O,3bS,B12,24,00
25;O,365,312,25,00
26;O,365,312,2b_00
27;O,3bS,B12,27,00
28;O,365,312,28,00
29;O,3bS,B12,29_00
30;O,365,312,30,00
31;O,365,31,_oo
32;O,365,312,32,00
33;O,365,312,33,00
34;O,3bS,B12,34,oo
35;O,365,312,35,00
36;O,365,312,3b,_00
37;O,3bS,B12,37,00
38;O,365,312,38,00
39;O,3bS,B12,39,00
40;O,3bS,B12,40_00
41;O,365,4!,oo
42;O,3bS,B12,42_00
43;O,3bS,B12,43,00
44;O,3bS,B12,4400
45;O,3bS,B12,4S_00
46;O,3bS,B12,4b_00
47;O,3bS,B12,47,00
48;O,3bS,B12,48_00
49;O,3bS,B12,4900
50;O,365,312,so_.o00
51;O,365,si,_oo
52;O,365,312,se_oo
53;O,365,312,$3,000
54;O,3bS,B12,s4¥_o00
55;O,365,312,ss_oo
56;O,365,312,Sb_oOo
57;O,3bS,B12,s?7_00
58;O,365,312,s6_.o00
59;O,3bS,B12,s9_o00
60;O,365,312,bO_oOO0
61;O,365,BI,_oo
62;O,365,312,be,_oo
63;O,365,312,63,00
