frame;text
1;Oo,354,302,oo
2;Oo,354,302
3;Oo,354,302
4;Oo,354,302,_oo
5;Oo,354,302
6;Oo,354,302,_oo
7;Oo,354,302,_oo
8;Oo,354,302
9;Oo,354,302,_oo
10;Oo,3S4,302,10,00
11;Oo,354,302,oo
12;Oo,3S4,302,12,00
13;Oo,3S4,302,13,00
14;Oo,4,35,302,14,00
15;Oo,3S4,302,15,00
16;Oo,3S4,302,1b,00
17;
18;Oo,3S4,302,16,00
19;Oo,4,35,302,19,00
20;Oo,3S4,302,20,00
21;Oo,354,302,el,_oo
22;Oo,360,304
23;Oo,360,304,oo
24;Oo,360,304
25;Oo,360,304
26;Oo,360,304,_oo
27;Oo,360,304
28;Oo,360,304,_oo
29;Oo,360,304,_oo
30;Oo,360,304
31;Oo,360,304,_oo
32;oO,3b0,304,10,00
33;Oo,360,304,oo
34;oO,3b0,304,12,00
35;oO,3b0,304,13,00
36;oO,3b0,304,14,00
37;oO,3b0,304,1S_o00
38;oO,3b0,304,1b,,00
39;oO,3b0,304,17,00
40;oO,3b0,304,18,00
41;oO,3b0,304,19,00
42;Oo,355,303
43;Oo,355,303,oo
44;Oo,355,303
45;Oo,355,303
