frame;text
1;O,3b!,308,oo
2;O,3b!,308
3;O,3b!,308
4;O,3b!,308,_oo
5;O,3b!,308
6;O,3b!,308,_oo
7;O,3b!,308,_oo
8;O,3b!
9;O,3b!
10;O,3bl,308,10,00
11;11,00,r,m,o
12;12,00,r,m,o
13;308,O,3b!
14;O,3bl,308,14,00
15;O,3bl,308,15,00
16;O,3bl,308,1b,00
17;O,3bl,308,17,00
18;O,3bl,308,16,00
19;O,3bl,308,19,00
20;O,3bl,308,20,00
21;O,3b!,308,el,_oo
22;O,3bl,308,e2_.oo
23;O,3bl,308,23,00
24;O,3bl,308,e+,oo
25;O,3bl,308,25,00
26;O,3bl,308,2b_00
27;O,3bl,308,27,00
28;O,3bl,308,28,00
29;O,3bl,308,29,00
30;O,3bl,308,30,00,A
31;O,3b!,308,31,_oo
32;O,3bl,308,,,32,00
33;O,3bl,308,33,00
34;O,3bl,308,34,O00
35;O,3bl,308,i],35,00
36;O,3bI,308,;,3b,,00
37;O,3bl,308,37,00
38;O,3bl,308,38,00
39;O,3bl,308,39,00
