frame;text
1;oO,342,25b,oo
2;oO,342,25b
3;oO,342,25b
4;oO,342,25b,_oo
5;oO,342,25b
6;oO,342,25b,_oo
7;oO,342,25b,_oo
8;oO,342,25b
9;oO,342,25b,_oo
10;oO,342,296,10,00
11;oO,342,25b,oo
12;oO,342,296,12,00
13;oO,342,296,13,00
14;oO,342,296,14,00
15;oO,342,296,1S_o00
16;oO,342,296,1b,,00
17;oO,342,296,17,00
18;oO,342,296,18,00
19;oO,342,296,19,00
20;oO,342,25b,20,00
21;oO,342,296,21,00
22;oO,342,25b,e2_.oo
23;oO,342,25b,23,00
24;oO,342,296,24,00
25;oO,342,25b,25,00
26;oO,342,296,2b_00
27;oO,342,296,27,00
28;
29;
30;oO,342,25b,30,00
31;
32;
33;oO,342,25b,33,00,st
34;oO,342,296,34,oo
35;oO,342,25b,35,00
36;oO,342,296,3b,,00
37;oO,342,296,37,00
38;oO,342,25b,38,00
39;oO,342,296,39,00
40;oO,342,296,40_00
41;oO,342,25b,4!,oo
42;oO,342,296,42_00
43;oO,342,296,43,00
44;oO,342,296,4400
45;oO,342,296,4S_00
46;oO,342,296,4b_00
47;oO,342,296,47,00
48;oO,342,296,48_00
49;oO,342,296,4900
50;oO,342,25b,so_.o00
51;oO,342,25b,si,_oo
52;oO,342,25b,se_oo
53;oO,342,25b,$3,000
54;oO,342,296,s4¥_o00
55;oO,342,25b,ss_oo
56;oO,342,296,Sb_oo
