frame;text
1;O,CATCHDASH,CATCHDASH
2;O,CATCHDASH,CATCHDASH,oo
3;O,CATCHDASH,CATCHDASH
4;O,CATCHDASH,CATCHDASH
5;O,CATCHDASH,CATCHDASH,_oo
6;O,CATCHDASH,CATCHDASH
7;O,CATCHDASH,CATCHDASH,_oo
8;O,CATCHDASH,CATCHDASH,_oo
9;O,CATCHDASH,~~,CATCHDASH
10;O,CATCHDASH,~,CATCHDASH,_oo
11;O,CATCHDASH,CATCHDASH,10,00
12;O,CATCHDASH,CATCHDASH
13;O,CATCHDASH,CATCHDASH,12,00
14;O,CATCHDASH,CATCHDASH,13,00
15;O,CATCHDASH,CATCHDASH,14,00
16;O,CATCHDASH,CATCHDASH,15,00
17;O,CATCHDASH,CATCHDASH,1b,00
18;O,CATCHDASH,CATCHDASH,17,00,LR
19;O,CATCHDASH,CATCHDASH,16,00,LR
20;O,CATCHDASH,CATCHDASH,19,00,LR
21;O,CATCHDASH,CATCHDASH,20,00,LR
22;O,CATCHDASH,CATCHDASH,21,00,LR
23;O,CATCHDASH,CATCHDASH,e2_.oo,LR
24;O,CATCHDASH,CATCHDASH,23,00,LR
25;O,CATCHDASH,CATCHDASH,e4,oo,LR
26;O,CATCHDASH,CATCHDASH,25,00,LR
27;O,CATCHDASH,CATCHDASH,2b_00,LR
28;O,CATCHDASH,CATCHDASH,e7,00,LR
29;O,CATCHDASH,CATCHDASH,28,00,LR
30;O,CATCHDASH,CATCHDASH,29,00,LR
31;O,CATCHDASH,CATCHDASH,30,00,LR
32;O,CATCHDASH,CATCHDASH,31,00,LR
33;O,CATCHDASH,CATCHDASH,32,00,LR
34;O,CATCHDASH,CATCHDASH,33,00,LR
35;O,CATCHDASH,CATCHDASH,34,_o00,LR
36;O,CATCHDASH,CATCHDASH,35,00,LR
37;O,CATCHDASH,CATCHDASH,3b,_00,LR
38;O,CATCHDASH,CATCHDASH,37,00,LR
39;O,CATCHDASH,CATCHDASH,38,00,LR
