frame;text
1;O,ATTACKAIRF,ATTACKAIRF,oo
2;O,ATTACKAIRF,ATTACKAIRE
3;O,ATTACKAIRF,ATTACKAIRE
4;O,ATTACKAIRF,ATTACKAIRE,_oo
5;O,ATTACKAIRF,ATTACKAIRE
6;O,ATTACKAIRF,ATTACKAIRF,_oo
7;O,ATTACKAIRF,ATTACKAIRF,_oo
8;O,ATTACKAIRF,ATTACKAIRF
9;O,ATTACKAIRF,ATTACKAIRE,_oo
10;O,ATTACKAIRF,ATTACKAIRF,10,00
11;O,ATTACKAIRF,ATTACKAIRF,oo
12;O,ATTACKAIRF,ATTACKAIRF,12,00
13;O,ATTACKAIRF,ATTACKAIRE,13,00
14;O,ATTACKAIRF,ATTACKAIRF,14,00
15;O,ATTACKAIRF,ATTACKAIRF,15,00
16;O,ATTACKAIRF,ATTACKAIRF,1b,00
17;O,ATTACKAIRF,ATTACKAIRE,17,00
18;O,ATTACKAIRF,ATTACKAIRF,16,00
19;O,ATTACKAIRF,ATTACKAIRF,19,00
20;O,ATTACKAIRF,ATTACKAIRF,20,00
21;O,ATTACKAIRF,ATTACKAIRE,el,_oo
22;O,ATTACKAIRF,ATTACKAIRF,e2_.oo
23;O,ATTACKAIRF,ATTACKAIRF,23,00
24;O,ATTACKAIRF,ATTACKAIRF,e4,oo
25;O,ATTACKAIRF,ATTACKAIRE,25,00
26;O,ATTACKAIRF,ATTACKAIRE,2b_00
27;oo"2ea,JMIVADVLLV,JMIVaDVLIv,oO
28;O,ATTACKAIRF,ATTACKAIRF,28,00
29;O,ATTACKAIRF,ATTACKAIRF,29,00
30;O,ATTACKAIRF,ATTACKAIRF,30,00
31;O,ATTACKAIRF,ATTACKAIRE,31,_oo
32;00,"2e,JMIVADVLLV,JMIVaDVLIv,oO
33;O,ATTACKAIRF,ATTACKAIRE,33,00
34;O,ATTACKAIRF,ATTACKAIRE,34,_o00
35;O,ATTACKAIRF,ATTACKAIRF,35,00
36;O,ATTACKAIRF,ATTACKAIRF,3b,_00
37;oo,"ze,JSULVADVLLV,JMIVADVLIV,O
38;O,ATTACKAIRF,ATTACKAIRE,38,00
