frame;text
1;oO,343,247,oo
2;oO,343,247
3;oO,343,247
4;oO,343,247,_oo
5;oO,343,247
6;oO,343,247,_oo
7;oO,343,247,_oo
8;oO,343,247
9;oO,343,247,_oo
10;oO,343,297,10,00
11;oO,343,247,oo
12;oO,343,297,12,00
13;oO,343,297,13,00
14;Oo,347,2aq
15;Oo,347,2a9,oo
16;
17;oO,347,2a9,3.00
18;
19;o,350,300,s_.oo
20;o,350,300,_oo
21;Oo,350,300,_oo
22;o,350,300
23;o,350,300,_oo
24;o,350,300,10,00
25;o,350,300,oo
26;o,350,300,12,00
27;o,350,300,13,00
28;o,350,300,14,00
29;o,350,300,15,00
30;o,350,300,1b,00
31;o,350,300,17,00
32;o,350,300,16,00
33;o,350,300,19,00
34;o,350,300,20,00
35;o,350,300,el,_oo
36;o,350,300,e2_.oo
37;23_00
38;350,300,e+,oo
39;oO,350,300,25,00
40;o,350,300,2b_00
41;
42;o,350,300,28,00
43;
44;
45;
46;
47;
48;
49;
50;
51;
52;O,34b,301
53;Oo,34b,301
54;Oo,34b,301,_oo
55;Oo,34b,301
56;Oo,34b,301,_oo
57;Oo,34b,301,_oo
58;Oo,34b,301
59;Oo,34b,301,_oo
60;O,34%b,301,10,00
61;Oo,34b,301
62;O,34%b,301,12,00
63;O,34%b,301,13,00
64;O,34%b,301,14,00
65;O,34%b,301,1S_o00
66;
67;O,34%b,301,17,00
68;O,34%b,301,18,00
69;O,34%b,301,19,00
