frame;text
1;O,ATTACKAIRHI,ATTACKAIRHI,oo
2;O,ATTACKAIRHI,ATTACKAIRHI
3;O,ATTACKAIRHI,ATTACKAIRHI
4;O,ATTACKAIRHI,ATTACKAIRHI,_oo
5;O,ATTACKAIRHI,ATTACKAIRHI
6;O,ATTACKAIRHI,ATTACKAIRHI,_oo
7;O,ATTACKAIRHI,ATTACKAIRHI,_oo
8;O,ATTACKAIRHI,ATTACKAIRHI
9;O,ATTACKAIRHI,ATTACKAIRHI,_oo
10;O,ATTACKAIRHI,ATTACKAIRHI,10,00
11;O,ATTACKAIRHI,ATTACKAIRHI,oo
12;O,ATTACKAIRHI,ATTACKAIRHI,12,00
13;O,ATTACKAIRHI,ATTACKAIRHI,13,00
14;O,ATTACKAIRHI,ATTACKAIRHI,14,00
15;O,ATTACKAIRHI,ATTACKAIRHI,15,00
16;O,ATTACKAIRHI,ATTACKAIRHI,1b,00
17;O,ATTACKAIRHI,ATTACKAIRHI,17,00
18;O,ATTACKAIRHI,ATTACKAIRHI,16,00
19;O,ATTACKAIRHI,ATTACKAIRHI,19,00
20;O,ATTACKAIRHI,ATTACKAIRHI,20,00
21;O,ATTACKAIRHI,ATTACKAIRHI,el,_oo
22;O,ATTACKAIRHI,ATTACKAIRHI,e2_.oo
23;O,ATTACKAIRHI,ATTACKAIRHI,23,00
24;O,ATTACKAIRHI,ATTACKAIRHI,e4,oo
25;O,ATTACKAIRHI,ATTACKAIRHI,25,00
26;O,ATTACKAIRHI,ATTACKAIRHI,2b_00
