frame;text
1;Oo,353,30b,oo
2;Oo,353,30b
3;Oo,353,30b
4;Oo,353,30b,_oo
5;Oo,353,30b,s_,oo
6;Oo,353,30b,b_oOOo
7;Oo,353,30b,7,00
8;Oo,353,30b,68,00
9;Oo,353,30b,94,00
10;Oo,353,30b,10,00
11;
12;Oo,353,30b,12,00
13;Oo,353,30b,13,00
14;oO,357,310,14,00
15;oO,357,310,14,00
16;oO,357,310,14,00
17;oO,357,310,14,00
18;oO,357,310,14,00
19;oO,357,310,14,00
20;oO,357,310,14,00
21;oO,357,310,14,00
22;oO,358
23;oO,358,oo
24;oO,358
25;oO,358
26;oO,358,_oo
27;oO,358
28;oO,358,_oo
29;oO,358,_oo
30;oO,358
31;oO,358,_oo
32;o,358,Bi,10,00
33;oO,358,oo
34;o,358,Bi,12,00
35;o,358,Bi,13,00
36;o,358,Bi,14,00
37;o,358,Bi,1S_o00
38;o,358,Bi,1b,,00
39;o,358,Bi,17,00
40;o,358,Bi,18,00
41;o,358,Bi,19,00
42;oO,358,311,20,00
43;oO,358,el,_oo
44;oO,358,311,e2_.oo
45;oO,358,311,23,00
46;o,358,Bi,24,00
47;oO,358,311,25,00
48;oO,358,311,2b_00
49;o,358,Bi,27,00
50;oO,358,311,28,00
51;o,358,Bi,29_00
52;oO,358,311,30,00
53;oO,358,31,_oo
54;oO,358,311,32,00
55;oO,358,311,33,00
56;o,358,Bi,34,oo
57;oO,358,311,35,00
58;oO,358,311,3b,_00
59;o,358,Bi,37,00
60;oO,358,311,38,00
61;o,358,Bi,39,00
62;o,358,Bi,40_00
63;oO,358,4!,oo
64;o,358,Bi,42_00
65;o,358,Bi,43,00
66;o,358,Bi,4400
67;o,358,Bi,4S_00
68;o,358,Bi,4b_00
69;o,358,Bi,47,00
70;o,358,Bi,48_00
71;o,358,Bi,4900
72;O,FALLSPECIAL,FALLSPECIAL
73;O,FALLSPECIAL,FALLSPECIAL,oo
74;O,FALLSPECIAL,FALLSPECIAL
75;O,FALLSPECIAL,FALLSPECIAL
76;O,LANDINGFALLSPECIAL,LAND,INGF,ALL,SPECIAL,o,o0o
77;O,LANDINGFALLSPECIAL,LAND,INGF,ALL,SPECIAL,esi
78;O,LANDINGFALLSPECIAL,LAND,INGF,ALL,SPECIAL,soe
79;O,LANDINGFALLSPECIAL,LAND,INGF,ALL,SPECIAL,v7,,sa
80;O,LANDINGFALLSPECIAL,LAND,INGF,ALL,SPECIAL,10,03
81;O,LANDINGFALLSPECIAL,LAND,INGF,ALL,SPECIAL,12,Ss4
82;O,LANDINGFALLSPECIAL,LAND,INGF,ALL,SPECIAL,15,05
83;O,LANDINGFALLSPECIAL,LAND,INGF,ALL,SPECIAL,17_/Sb
84;O,LANDINGFALLSPECIAL,LAND,INGF,ALL,SPECIAL,20,07
