frame;text
1;oO,342,25b,oo
2;oO,342,25b
3;oO,342,25b
4;oO,342,25b,_oo
5;oO,342,25b
6;oO,342,25b,_oo
7;oO,342,25b,_oo
8;oO,342,25b
9;oO,342,25b,_oo
10;oO,342,296,10,00
11;oO,342,25b,oo
12;oO,342,296,12,00
13;oO,342,296,13,00
14;oO,342,296,14,00
15;oO,342,296,1S_o00
16;oO,342,296,1b,,00
17;oO,342,296,17,00
18;oO,342,296,18,00
19;oO,342,296,19,00
20;oO,342,29b
21;oO,342,29b
22;oO,342,29b
23;oO,342,29b
24;oO,342,29b
25;oO,342,29b
26;oO,342,296,2b_00
27;oO,342,296,27,00
28;oO,342,25b,28,00
29;oO,342,296,29_00
30;oO,342,25b,30,00
31;oO,342,25b,_oo
32;oO,342,25b,32,00,+>
33;oO,342,25b,33,00
34;oO,342,34,oo,rr
35;oO,342,25b,35,00
36;oO,342,296,3b,,00
37;oO,342,296,37,00
38;oO,342,25b,38,00
39;oO,342,296,39,00
40;oO,342,296,40_00
41;oO,342,25b,4!,oo
42;oO,342,296,42_00
43;oO,342,296,43,00
44;oO,342,296,4400
45;oO,342,296,4S_00
46;oO,342,296,4b_00
47;oO,342,296,47,00
48;oO,342,296,48_00
49;oO,342,296,4900
50;oO,342,25b,so_.o00
51;oO,342,25b,si,_oo
52;oO,342,25b,se_oo
53;oO,342,25b,$3,000
54;oO,342,296,s4¥_o00
55;oO,342,25b,ss_oo
56;oO,342,296,Sb_oo
