frame;text
1;Oo,359,oo,LR
2;Oo,359,LR
3;Oo,359,LR
4;Oo,359,_oo,LR
5;Oo,359,LR
6;Oo,359,_oo,LR
7;Oo,359,_oo,LR
8;Oo,359,LR
9;Oo,359,_oo,LR
10;0,359,B12,10,00,LR
11;Oo,359,3Jle,11.00,LR
12;0,359,B12,12,00,LR
13;0,359,B12,13,00,LR
14;o,359,312,14.00,LR
15;
16;o,359,312,Ib.00,LR
17;o,359,312,17,00,LR
18;Oo,360,LR
19;Oo,360,oo,LR
20;Oo,360,LR
21;Oo,360,LR
22;Oo,360,_oo,LR
23;Oo,360,LR
24;Oo,360,_oo,LR
25;Oo,360,LR
26;Oo,360,LR
27;Oo,360,_oo,LR
28;Oo,360,LR
29;Oo,360,oo,LR
30;Oo,360
31;Oo,360,LR
32;Oo,360,_oo,LR
33;Oo,360,LR
34;Oo,360,LR
35;Oo,360,_oo,LR
36;Oo,360,313,_oo,LR
37;Oo,360,LR
38;Oo,360,LR
39;Oo,360,LR
40;O,3b!
41;O,3b!
42;O,3b!
43;O,3b!
44;O,3b!
45;
46;O,3b!
47;O,3b!
48;O,3b!
49;O,3b!
50;O,3b!,LR
51;O,3b!
52;O,3b!,LR
53;O,3b!,LR
54;O,3b!,LR
55;O,3b!,LR
56;O,3b!,_oo,LR
57;O,3b!,_oo,LR
58;O,3b!,LR
59;O,3b!,_oo,LR
60;O,3b!,LR
61;O,3b!,oo,LR
62;O,3b!,LR
63;O,3b!,LR
64;O,3b!,LR
65;O,3b!,LR
66;O,3b!,_oo,LR
67;O,3b!,_oo,LR
68;O,3b!,LR
69;O,3b!,_oo,LR
70;O,3b!,LR
71;O,3b!,oo,LR
72;O,3b!,LR
73;O,3be2,LR
74;O,3be2,oo,LR
75;O,3be2,LR
76;O,3be2,LR
77;O,3be2,_oo,LR
78;O,3be2,LR
79;O,3be2,_oo,LR
80;O,3be2,_oo,LR
81;O,3be2,LR
82;O,3be2,_oo,LR
83;O,3b2,31S,10,00,LR
84;O,3be2,315,11.00,LR
85;O,3b2,31S,12,00,LR
86;O,3b2,31S,13,00,LR
87;0,3b2,31s,14,00,LR
88;O,3b2,31S,1S.00,LR
89;O,3b2,31S,Ib,0O,=LR
90;0,3b2,31s,17,00,LR
91;O,3b2,31S,18,00,LR
92;O,3b2,315,19,00,LR
93;O,3be2,315,20,00,LR
94;O,3b2,31S,21,00,LR
95;O,3be2,315,e2_.oo,LR
96;O,3be2,315,23,00,LR
97;O,3b2,31S,24.00,LR
98;O,3be2,315,25,00,LR
99;O,3be2,315,2b_00,LR
100;O,3b2,31S,27,00,LR
101;O,3be2,315,28,00,LR
102;O,3b2,31S,29,00,LR
103;O,3be2,315,30,00,LR
104;O,3b2,31S,31,00,LR
105;O,3be2,315,32,00,LR
106;O,3be2,315,33,00,LR
107;O,3b2,31S,34.00,LR
108;O,3be2,315,35,00,LR
