frame;text
1;O,ATTACKS4S,ATTACKS4#S,oo
2;O,ATTACKS4S,ATTACKS4#S,oo
3;O,ATTACKS4S,ATTACKS4#S
4;O,ATTACKS4S,ATTACKS4#S
5;O,ATTACKS4S,ATTACKS4#S,_oo
6;O,ATTACKS4S,ATTACKS4#S
7;O,ATTACKS4S,ATTACKS4S,_oo
8;O,ATTACKS4S,ATTACKS4S,_oo
9;O,ATTACKS4S,ATTACKS4S
10;O,ATTACKS4S,ATTACKS4S,_oo
11;O,ATTACKS4S,ATTACKS4S,10,00
12;O,ATTACKS4S,ATTACKS4#S
13;O,ATTACKS4S,ATTACKS4S,12,00
14;O,ATTACKS4S,ATTACKS4S,13,00
15;O,ATTACKS4S,ATTACKS4S,14,00
16;O,ATTACKS4S,ATTACKS4S,1S_o00
17;O,ATTACKS4S,ATTACKS4S,1b,00
18;O,ATTACKS4S,ATTACKS4#S,17,00
19;O,ATTACKS4S,ATTACKS4S,18,00
20;O,ATTACKS4S,ATTACKS4#S,19,00
21;O,ATTACKS4S,ATTACKS4#S,20,00
22;O,ATTACKS4S,ATTACKS4#S,el,_oo
23;O,ATTACKS4S,ATTACKS4#S,e2_.oo
24;O,ATTACKS4S,ATTACKS4S,23,00
25;O,ATTACKS4S,ATTACKS4#S,e4,oo,T
26;O,ATTACKS4S,ATTACKS4#S,25,00
27;O,ATTACKS4S,ATTACKS4#S,2b_00
28;O,ATTACKS4S,ATTACKS4S,27,00
29;O,ATTACKS4S,ATTACKS4#S,28,00,T
30;O,ATTACKS4S,ATTACKS4S,29,00
31;O,ATTACKS4S,ATTACKS4#S,30,00,T
32;O,ATTACKS4S,ATTACKS4S,_oo
33;O,ATTACKS4S,ATTACKS4#S,32,00,T
34;O,ATTACKS4S,ATTACKS4#S,33,00
35;O,ATTACKS4S,ATTACKS4S,34,oo
36;O,ATTACKS4S,ATTACKS4#S,35,00
37;O,ATTACKS4S,ATTACKS4#S,3b,_00,LR
38;O,ATTACKS4S,ATTACKS4S,37,00,LR
39;O,ATTACKS4S,ATTACKS4S,38,00,LR
40;O,ATTACKS4S,ATTACKS4S,39,00,LR
41;O,ATTACKS4S,ATTACKS4S,40,00,LR
42;O,ATTACKS4S,ATTACKS4#S,41.00,LR
43;O,ATTACKS4S,ATTACKS4S,42,00,LR
44;O,ATTACKS4S,ATTACKS4S,43,00,LR
45;O,ATTACKS4S,ATTACKS#S,44.00,LR
46;O,ATTACKS4S,ATTACKS4S,4+S_00,LR
47;O,ATTACKS4S,ATTACKS4#S,+b_OO,LR
48;O,ATTACKS4S,ATTACKS4#S,47,00,LR
