frame;text
1;Oo,353,30b,oo
2;Oo,353,30b
3;Oo,353,30b
4;Oo,353,30b,400
5;Oo,353,30b,s_,oo
6;Oo,353,30b,b_oOOo
7;Oo,353,30b,7,00
8;Oo,353,30b,68,00
9;Oo,353,30b,94,00
10;Oo,353,30b,10,00
11;Oo,353,30b,oo
12;Oo,353,30b,12,00
13;Oo,353,30b,13,00
14;oO,357,310,14,00
15;oO,357,310,14,00
16;oO,357,310,14,00
17;oO,357,310,14,00
18;oO,357,310,14,00
19;oO,358
20;oO,358,oo
21;oO,358
22;oO,358
23;
24;oO,358
25;oO,358,_oo
26;oO,358,_oo
27;oO,358
28;oO,358,_oo
29;o,358,Bi,10,00
30;oO,358,oo
31;o,358,Bi,12,00
32;o,358,Bi,13,00
33;o,358,Bi,14,00
34;o,358,Bi,1S_o00
35;o,358,Bi,1b,,00
36;o,358,Bi,17,00
37;o,358,Bi,18,00
38;o,358,Bi,19,00
39;oO,358,311,20,00
40;oO,358,el,_oo
41;oO,358,311,e2_.oo
42;oO,358,311,23,00
43;o,358,Bi,24,00
44;oO,358,311,25,00
45;oO,358,311,2b_00
46;o,358,Bi,27,00
47;oO,358,311,28,00
48;o,358,Bi,29_00
49;oO,358,311,30,00
50;oO,358,31,_oo
51;oO,358,311,32,00
52;oO,358,311,33,00
53;o,358,Bi,34,oo
54;oO,358,311,35,00
55;oO,358,311,3b,_00
56;o,358,Bi,37,00
57;oO,358,311,38,00
58;o,358,Bi,39,00
59;o,358,Bi,40_00
60;oO,358,4!,oo
61;o,358,Bi,42_00
62;o,358,Bi,43,00
63;o,358,Bi,4400
64;o,358,Bi,4S_00
65;o,358,Bi,4b_00
66;o,358,Bi,47,00
67;O,LANDINGFALLSPECIAL,LAND,INGF,ALL,SPECIAL,o,o0o
68;O,LANDINGFALLSPECIAL,LAND,INGF,ALL,SPECIAL,2s
69;O,LANDINGFALLSPECIAL,LAND,INGF,ALL,SPECIAL,esi
70;O,LANDINGFALLSPECIAL,LAND,INGF,ALL,SPECIAL,3,,Te
71;O,LANDINGFALLSPECIAL,LAND,INGF,ALL,SPECIAL,soe
72;O,LANDINGFALLSPECIAL,LAND,INGF,ALL,SPECIAL,b,,27
73;O,LANDINGFALLSPECIAL,LAND,INGF,ALL,SPECIAL,v7,,sa
74;O,LANDINGFALLSPECIAL,LAND,INGF,ALL,SPECIAL,8,78
75;O,LANDINGFALLSPECIAL,LAND,INGF,ALL,SPECIAL,10,03
76;O,LANDINGFALLSPECIAL,LAND,INGF,ALL,SPECIAL,ea
77;O,LANDINGFALLSPECIAL,LAND,INGF,ALL,SPECIAL,12,Ss4
78;O,LANDINGFALLSPECIAL,LAND,INGF,ALL,SPECIAL,13,680
79;O,LANDINGFALLSPECIAL,LAND,INGF,ALL,SPECIAL,15,05
