frame;text
1;O,ATTACKDASH,ATTACKDASH,oo
2;O,ATTACKDASH,ATTACKDASH
3;O,ATTACKDASH,ATTACKDASH
4;O,ATTACKDASH,ATTACKDASH,_oo
5;O,ATTACKDASH,ATTACKDASH
6;O,ATTACKDASH,ATTACKDASH,_oo
7;O,ATTACKDASH,ATTACKDASH,_oo
8;O,ATTACKDASH,ATTACKDASH
9;O,ATTACKDASH,ATTACKDASH,_oo
10;O,ATTACKDASH,ATTACKDASH,10,00
11;O,ATTACKDASH,ATTACKDASH,oo
12;O,ATTACKDASH,ATTACKDASH,12,00
13;O,ATTACKDASH,ATTACKDASH,13,00
14;O,ATTACKDASH,ATTACKDASH,14,00
15;O,ATTACKDASH,ATTACKDASH,1S_.o00
16;O,ATTACKDASH,ATTACKDASH,Ib_O0
17;O,ATTACKDASH,ATTACKDASH,17,00
18;oo"s!,HS,Vda,9DVLIV,HSvdxaovLiv,O
19;O,ATTACKDASH,ATTACKDASH,19,00
20;oo"oe,HS,Vda,9DVLIV,HSvdxaovLiv,O
21;O,ATTACKDASH,ATTACKDASH,el,_oo
22;O,ATTACKDASH,ATTACKDASH,22_00
23;oo"cea,HS,Vda,9DVLIV,HSvdxaovLiv,O
24;00",2,HS,Vda,DVLLIV,HSvdyovilv,O
25;O,ATTACKDASH,ATTACKDASH,2s_o0
26;O,ATTACKDASH,ATTACKDASH,2b_00
27;O,ATTACKDASH,ATTACKDASH,e7,00
28;O,ATTACKDASH,ATTACKDASH,28_00
29;O,ATTACKDASH,ATTACKDASH,29,00
30;O,ATTACKDASH,ATTACKDASH,30,00
31;O,ATTACKDASH,ATTACKDASH,31,_oo
32;O,ATTACKDASH,ATTACKDASH,32,00
33;O,ATTACKDASH,ATTACKDASH,33,00
34;O,ATTACKDASH,ATTACKDASH,3400
35;O,ATTACKDASH,ATTACKDASH,3s_o00
36;O,ATTACKDASH,ATTACKDASH,3b,_00
37;O,ATTACKDASH,ATTACKDASH,37,00
38;O,ATTACKDASH,ATTACKDASH,38,00
39;O,ATTACKDASH,ATTACKDASH,39,00
40;O,WALKSLOW,WALKSLOW,oo
41;O,WALKSLOW,WALKSLOW
42;O,WALKSLOW,WALKSLOW,ra
43;O,WALKSLOW,WALKSLOW
44;O,WALKSLOW,WALKSLOW,,o9
45;O,WALKSLOW,WALKSLOW,_Sb
46;O,WALKSLOW,WALKSLOW,ot
47;O,WALKMIDDLE,WALKMIDDLE
48;O,WALKMIDDLE,WALKMIDDLE,_oo
49;O,WALKMIDDLE,WALKMIDDLE,.70
50;O,WALKMIDDLE,WALKMIDDLE,10,66
51;O,WALKMIDDLE,WALKMIDDLE
52;O,WALKMIDDLE,WALKMIDDLE,12_,9%b
53;O,WALKMIDDLE,WALKMIDDLE,4,09
54;O,WALKMIDDLE,WALKMIDDLE,1S,2b
55;O,WALKMIDDLE,WALKMIDDLE,Ib,494
56;O,WALKMIDDLE,WALKMIDDLE,17,7S
