frame;text
1;O,3b9,323,oo,LR
2;O,3b9,323,LR
3;O,3b9,323,LR
4;O,3b9,323,_oo,LR
5;O,3b9,323,LR
6;O,3b9,323,_oo,LR
7;O,3b9,323,_oo,LR
8;O,3b9,323,LR
9;O,3b9,323,_oo,LR
10;O,369,323,10,00,LR
11;O,3b9,323,11.00,LR
12;O,369,323,12,00,LR
13;O,369,323,13,00,LR
14;O,3b9,323,14,00,LR
15;O,369,323,15,00,LR
16;O,369,323,1b,00,LR
17;O,3b9,323,17,00,LR
18;O,369,323,16,00,LR
19;O,3b9,323,19.00,LR
20;O,369,323,20,00,LR
21;O,369,323,21,00,LR
22;O,369,323,e2_.oo,LR
23;O,369,323,23,00,LR
24;O,369,323,e4,oo,LR
25;O,369,323,25,00,LR
26;O,369,323,2b_00,LR
27;O,369,323,27,00,LR
28;O,369,323,28,00,LR
29;O,369,323,29,00,LR
30;O,369,323,30,00,LR
31;O,369,323,31,00,LR
32;O,369,323,32,00,LR
33;O,369,323,33,00,LR
34;O,369,323,34,_o00,LR
35;O,369,323,35,00,LR
36;O,369,323,3b,_00,LR
37;O,369,323,37,00,LR
38;O,369,323,38,00,LR
39;O,369,323,39,00,LR
40;O,369,323,40,00,LR
41;O,3b9,323,41,00,LR
42;O,369,323,42,00,LR
43;O,369,323,43,00,LR
44;O,3b9,323,44,00,LR
45;O,369,323,4+S_00,LR
46;O,369,323,+b_OO,LR
47;O,3b9,323,47,00,LR
48;O,369,323,46,00,LR
49;O,3b9,323,49,00,LR
50;O,369,323,so_.o00,LR
51;O,369,323,s!1.00,LR
52;O,369,323,se_oo,LR
53;O,369,323,$3,000,LR
54;O,369,323,s4¥_o0o,LR
55;O,369,323,ss_oo,LR
56;O,369,323,Sb_oOo,LR
57;O,369,323,s7_o00,LR
58;O,369,323,s6_.o00,LR
