frame;text
1;O,ATTACKLWS3,ATTACKLW3,oo
2;O,ATTACKLWS3,ATTACKLW3
3;O,ATTACKLWS3,ATTACKLW3
4;O,ATTACKLWS3,ATTACKLW3,_oo
5;O,ATTACKLWS3,ATTACKLW3
6;O,ATTACKLWS3,ATTACKLW3,_oo
7;O,ATTACKLWS3,ATTACKLW3,_oo
8;O,ATTACKLWS3,ATTACKLW3,68,00
9;O,ATTACKLWS3,ATTACKLW3,94,00
10;O,ATTACKLWS3,ATTACKLW3,10,00
11;O,ATTACKLWS3,ATTACKLW3
12;O,ATTACKLWS3,ATTACKLW3,12,00
13;O,ATTACKLWS3,ATTACKLW3,13,00
14;O,ATTACKLWS3,ATTACKLW3,14,00
15;O,ATTACKLWS3,ATTACKLW3,15,00
16;O,ATTACKLWS3,ATTACKLW3,1b,00
17;O,ATTACKLWS3,ATTACKLW3,17,00
18;O,ATTACKLWS3,ATTACKLW3,16,00
19;O,ATTACKLWS3,ATTACKLW3,19,00
20;O,ATTACKLWS3,ATTACKLW3,20,00
21;O,ATTACKLWS3,ATTACKLW3,el,_oo
22;O,ATTACKLWS3,ATTACKLW3,e2_.oo
23;O,ATTACKLWS3,ATTACKLW3,23,00
24;O,ATTACKLWS3,ATTACKLW3,e4,oo
25;O,ATTACKLWS3,ATTACKLW3,25,00
26;O,ATTACKLWS3,ATTACKLW3,2b_00
27;O,ATTACKLWS3,ATTACKLW3,e7,00
28;O,ATTACKLWS3,ATTACKLW3,28,00
29;O,ATTACKLWS3,ATTACKLW3,29,00
30;O,ATTACKLWS3,ATTACKLW3,30,00
31;O,ATTACKLWS3,ATTACKLW3,31,_oo
32;O,ATTACKLWS3,ATTACKLW3,32,00
33;O,ATTACKLWS3,ATTACKLW3,33,00
34;O,ATTACKLWS3,ATTACKLW3,34,_o00
35;O,ATTACKLWS3,ATTACKLW3,35,00
36;O,ATTACKLWS3,ATTACKLW3,3b,_00
37;O,ATTACKLWS3,ATTACKLW3,37,00
38;O,ATTACKLWS3,ATTACKLW3,38,00
39;O,ATTACKLWS3,ATTACKLW3,39,00
40;O,ATTACKLWS3,ATTACKLW3,40,00
41;O,ATTACKLWS3,ATTACKLW3,4!,oo
42;O,ATTACKLWS3,ATTACKLW3,42,00
43;O,ATTACKLWS3,ATTACKLW3,43,00
44;O,ATTACKLWS3,ATTACKLW3,44,_00
45;O,ATTACKLWS3,ATTACKLW3,4+S_00
46;O,ATTACKLWS3,ATTACKLW3,+b_OO
47;O,ATTACKLWS3,ATTACKLW3,47,00
48;O,ATTACKLWS3,ATTACKLW3,46,00
49;O,ATTACKLWS3,ATTACKLW3,49,00
50;O,ATTACKLWS3,ATTACKLW3,so_.o00
51;O,ATTACKLWS3,ATTACKLW3,si,_oo
52;O,ATTACKLWS3,ATTACKLW3,se_oo
53;O,ATTACKLWS3,ATTACKLW3,$3,000
54;O,ATTACKLWS3,ATTACKLW3,s4¥_o0o
55;O,ATTACKLWS3,ATTACKLW3,ss_oo
56;O,ATTACKLWS3,ATTACKLW3,Sb_oOo
