frame;text
1;O,ATTACKS4S,ATTACKS4S,oo,LR
2;O,ATTACKS4S,ATTACKS4S,oo,LR
3;O,ATTACKS4S,ATTACKS4#S,LR
4;O,ATTACKS4S,ATTACKS4#S,LR
5;O,ATTACKS4S,ATTACKS4S,+,oo,LR
6;O,ATTACKS4S,ATTACKS4#S,LR
7;O,ATTACKS4S,ATTACKS4#S,_oo,LR
8;O,ATTACKS4S,ATTACKS4#S,_oo,LR
9;O,ATTACKS4S,ATTACKS4#S,LR
10;O,ATTACKS4S,ATTACKS4#S,_oo,LR
11;O,ATTACKS4S,ATTACKS4S,10,00,LR
12;O,ATTACKS4S,ATTACKS4#S,11.00,LR
13;O,ATTACKS4S,ATTACKS4S,12,00,LR
14;O,ATTACKS4S,ATTACKS4S,13,00
15;O,ATTACKS4S,ATTACKS#S,14,00
16;O,ATTACKS4S,ATTACKS4S,1S_o00
17;O,ATTACKS4S,ATTACKS4#S,1b,00
18;O,ATTACKS4S,ATTACKS4#S,17,00,=o
19;O,ATTACKS4S,ATTACKS4S,18,00
20;O,ATTACKS4S,ATTACKS4S,19,00
21;O,ATTACKS4S,ATTACKS4S,20,00
22;O,ATTACKS4S,ATTACKS4S,el,_oo
23;O,ATTACKS4S,ATTACKS4S,e2_.oo
24;O,ATTACKS4S,ATTACKS4S,23,00
25;O,ATTACKS4S,ATTACKS4S,e4,oo
26;O,ATTACKS4S,ATTACKS4S,25,00
27;O,ATTACKS4S,ATTACKS4S,2b_00
28;O,ATTACKS4S,ATTACKS4S,e7,00
29;O,ATTACKS4S,ATTACKS4S,28,00
30;O,ATTACKS4S,ATTACKS4S,29,00
31;O,ATTACKS4S,ATTACKS4S,30,00
32;O,ATTACKS4S,ATTACKS4S,31,_oo
33;O,ATTACKS4S,ATTACKS4S,32,00
34;O,ATTACKS4S,ATTACKS4S,33,00
35;O,ATTACKS4S,ATTACKS4S,34,oo
36;O,ATTACKS4S,ATTACKS4S,35,00
37;O,ATTACKS4S,ATTACKS4S,3b,_00
38;O,ATTACKS4S,ATTACKS4S,37,00
39;O,ATTACKS4S,ATTACKS4S,38,00
40;O,ATTACKS4S,ATTACKS4S,39,00
41;O,ATTACKS4S,ATTACKS4S,40_00
42;O,ATTACKS4S,ATTACKS4S,4!
43;O,ATTACKS4S,ATTACKS4S,42,00
44;O,ATTACKS4S,ATTACKS4S,43,00
45;O,ATTACKS4S,ATTACKS4S,44,_00
46;O,ATTACKS4S,ATTACKS4S,4+S_00,LR
47;O,ATTACKS4S,ATTACKS4S,+b_OO,LR
48;O,ATTACKS4S,ATTACKS4S,47,00,LR
49;O,ATTACKS4S,ATTACKS4S,48,00,LR
50;O,ATTACKS4S,ATTACKS4S,49,00,LR
51;O,ATTACKS4S,ATTACKS4S,so_.o00,LR
52;O,ATTACKS4S,ATTACKS4S,S!1,00,LR
53;O,ATTACKS4S,ATTACKS4S,se_oo,LR
54;O,ATTACKS4S,ATTACKS4S,$3,000,LR
55;O,ATTACKS4S,ATTACKS4S,s4.00,LR
56;O,ATTACKS4S,ATTACKS4#S,ss_oo,LR
