frame;text
1;O,3b?,32!,oo
2;O,3b?,32!
3;
4;O,3b?,32!,_oo
5;O,3b?,32!
6;O,3b?,32!,_oo
7;O,3b?,32!,_oo
8;O,3b?,32!
9;O,3b?,32!,_oo
10;O,3b7,B21,10,00
11;
12;O,3b7,B21,12,00
13;
14;O,3b7,B21,14,00
15;O,3b7,B21,1S_o00
16;O,3b7,B21,1b,,00
17;O,3b7,B21,17,00
18;O,3b7,B21,18,00
19;O,3b7,B21,19,00
20;oo,=),fu,O,3b?
21;O,3b?,32!,el,_oo
22;O,3b?,32!,e2_.oo
23;O,3b?,32!,23,00
24;o,7,3b,B21,24,00
25;O,3b?,32!,25,00
26;O,3b7,B21,2b_00
27;o,7,3b,B21,27,00
28;O,3b?,32!,28,00
29;o,7,3b,B21,29_00
30;O,3b?,32!,30,00
31;O,3b?,32!,31,_oo
32;O,3b?,32!,32,00
33;O,3b?,32!,33,00
34;o,7,3b,B21,34,oo
35;O,3b?,32!,35,00
36;O,3b7,B21,3b,,00
37;o,7,3b,B21,37,00
38;O,3b?,32!,38,00
39;o,7,3b,B21,39,00
40;O,3b7,B21,40_00
41;O,3b?,32!,4!,oo
42;O,3b7,B21,42_00
43;O,3b7,B21,43,00
44;O,3b7,B21,4400
45;O,3b7,B21,4S_00
46;O,3b7,B21,4b_00
47;O,3b7,B21,47,00
