frame;text
1;O,ATTACKHIS3Z,ATTACKHI3,<>,oo,LR
2;O,ATTACKHIS3Z,ATTACKHI3,LR
3;O,ATTACKHIS3Z,ATTACKHI3,LR
4;O,ATTACKHIS3Z,ATTACKHI3,_oo,LR
5;O,ATTACKHIS,ATTACKHI3,LR
6;O,ATTACKHIS,ATTACKHI3,_oo,LR
7;O,ATTACKHIS3Z,ATTACKHI3,_oo,LR
8;O,ATTACKHIS3Z,ATTACKHI3,LR
9;O,ATTACKHIS3Z,ATTACKHI3,_oo,LR
10;O,ATTACKHIS,ATTACKHI3,10,00,LR
11;O,ATTACKHIS,ATTACKHI3,11.00,LR
12;O,ATTACKHIS,ATTACKHI3,12,00,LR
13;O,ATTACKHIS,ATTACKHI3,13,00,LR
14;O,ATTACKHIS,ATTACKHI3,14,00,LR
15;O,ATTACKHIS,ATTACKHI3,15,00,LR
16;O,ATTACKHIS,ATTACKHI3,1b,00,LR
17;O,ATTACKHIS,ATTACKHI3,17,00,LR
18;O,ATTACKHIS,ATTACKHI3,16,00,LR
19;O,ATTACKHIS,ATTACKHI3,19,00,LR
20;O,ATTACKHIS,ATTACKHI3,20,00,LR
21;O,ATTACKHIS3Z,ATTACKHI3,el,_oo,LR
22;O,ATTACKHIS,ATTACKHI3,e2_.oo,LR
23;O,ATTACKHIS,ATTACKHI3,23,00,LR
24;O,ATTACKHIS,ATTACKHI3,e4,oo,LR
25;O,ATTACKHIS3Z,ATTACKHI3,2s_o0,LR
26;O,ATTACKHIS,ATTACKHI3,2b_00,LR
27;O,ATTACKHIS3Z,ATTACKHI3,27,00,LR
28;O,ATTACKHIS3Z,ATTACKHI3,28_00,LR
29;O,ATTACKHIS,ATTACKHI3,29,00,LR
30;O,ATTACKHIS,ATTACKHI3,30,00,LR
31;O,ATTACKHIS,ATTACKHI3,31,00,LR
32;O,ATTACKHIS,ATTACKHI3,32,00,LR
33;O,ATTACKHIS,ATTACKHI3,33,00,LR
34;O,ATTACKHIS,ATTACKHI3,34,_o00,LR
35;O,ATTACKHIS,ATTACKHI3,35,00,LR
36;O,ATTACKHIS,ATTACKHI3,3b,_00,LR
37;O,ATTACKHIS,ATTACKHI3,37,00,LR
38;O,ATTACKHIS,ATTACKHI3,38,00,LR
39;O,ATTACKHIS,ATTACKHI3,39,00,LR
40;O,ATTACKHIS,ATTACKHI3,40,00,LR
41;O,ATTACKHIS,ATTACKHI3,41.00,LR
42;O,ATTACKHIS,ATTACKHI3,42,00,LR
43;O,ATTACKHIS,ATTACKHI3,43,00,LR
44;O,ATTACKHIS,ATTACKHI3,44,00,LR
