frame;text
1;oO,352,30b,oo
2;oO,352,30b
3;oO,352,30b
4;oO,352,30b,_oo
5;oO,352,30b
6;oO,352,30b,_oo
7;oO,352,30b,_oo
8;oO,352,30b
9;oO,352,30b,_oo
10;oO,352,30b,10,00
11;oO,352,30b,oo
12;oO,352,30b,12,00
13;oO,352,30b,13,00
14;oO,352,30b,14,00
15;oO,352,30b,15,00
16;oO,352,30b,1b,00
17;oO,352,30b,17,00
18;oO,352,30b,16,00
19;oO,352,30b,19,00
20;oO,352,30b,20,00
21;oO,352,30b,el,_oo
22;oO,352,30b,e2_.oo
23;oO,352,30b,23,00
24;oO,352,30b,e+,oo
25;oO,352,30b,25,00,vw,ok
26;oO,352,30b,2b_00
27;oO,352,30b,27,00
28;oO,352,30b,28,00
29;oO,352,30b,29,00
30;oO,352,30b,30,00
31;oO,352,30b,31,00
32;oO,352,30b,32,00
33;oO,352,30b,33,00
34;oO,352,30b,34,O00
35;oO,352,30b,35,00
36;oO,352,30b,3b,_00
37;oO,352,30b,37,00,an
38;oO,352,30b,38,00
39;oO,352,30b,39,00
40;oO,352,30b,40,00
41;oO,352,30b,41,00
42;
43;
44;oO,352,30b,44,O00
45;oO,352,30b,4+S_00
46;oO,352,30b,+b_OO
47;
48;
