frame;text
1;Oo,354,308,oo
2;Oo,354,308
3;Oo,354,308
4;Oo,354,308,_oo
5;Oo,354,308
6;Oo,354,308,_oo
7;Oo,354,308,_oo
8;Oo,354,308
9;Oo,354,308,_oo
10;Oo,3S4,308,10,00
11;Oo,354,308,oo
12;Oo,3S4,308,12,00
13;Oo,3S4,308,13,00
14;Oo,4,35,308,14,00
15;Oo,3S4,308,15,00
16;Oo,3S4,308,1b,00
17;Oo,4,35,308,17,00
18;Oo,3S4,308,16,00
19;Oo,4,35,308,19,00
20;Oo,3S4,308,20,00
21;Oo,354,308,el,_oo
22;Oo,3S4,308,e2_.oo
23;Oo,3S4,308,23,00
24;Oo,3S4,308,e+,oo
25;Oo,3S4,308,25,00
26;Oo,3S4,308,2b_00
27;Oo,3S4,308,27,00
28;Oo,3S4,308,28,00
29;Oo,3S4,308,29,00
30;Oo,3S4,308,30,00
31;Oo,354,308,31,_oo
32;Oo,3S4,308,32,00
33;Oo,3S4,308,33,00
34;Oo,3S4,308,34,O00
35;Oo,3S4,308,35,00
36;Oo,3S4,308,3b,_00
37;Oo,3S4,308,37,00
38;Oo,3S4,308,38,00
39;Oo,3S4,308,39,00
40;Oo,3S4,308,40,00
41;Oo,354,308,4!,oo
42;Oo,3S4,308,42,00
43;Oo,3S4,308,43,00
44;Oo,4,35,308,44,O00
45;Oo,3S4,308,4+S_00
46;Oo,3S4,308,+b_OO
