frame;text
1;O,CATCHDASH,CATCHDASH
2;O,CATCHDASH,CATCHDASH,oo
3;O,CATCHDASH,CATCHDASH
4;O,CATCHDASH,CATCHDASH
5;O,CATCHDASH,CATCHDASH,_oo
6;O,CATCHDASH,CATCHDASH
7;O,CATCHDASH,CATCHDASH,_oo
8;O,CATCHDASH,CATCHDASH,_oo
9;O,CATCHDASH,CATCHDASH
10;O,CATCHDASH,CATCHDASH,_oo
11;O,CATCHDASH,CATCHDASH,10,00
12;O,CATCHDASH,CATCHDASH,oo
13;O,CATCHDASH,CATCHDASH,12,00
14;O,CATCHDASH,CATCHDASH,13,00
15;O,CATCHDASH,CATCHDASH,14,00
16;O,CATCHDASH,CATCHDASH,15,00
17;O,CATCHDASH,CATCHDASH,1b,00
18;O,CATCHDASH,CATCHDASH,17,00
19;O,CATCHDASH,CATCHDASH,16,00
20;O,CATCHDASH,CATCHDASH,19,00
21;O,CATCHDASH,CATCHDASH,20,00
22;O,CATCHDASH,CATCHDASH,el,_oo
23;O,CATCHDASH,CATCHDASH,e2_.oo
24;O,CATCHDASH,CATCHDASH,23,00
25;O,CATCHDASH,CATCHDASH,e4,oo,'
26;O,CATCHDASH,CATCHDASH,25,00
27;O,CATCHDASH,CATCHDASH,2b_00
28;O,CATCHDASH,CATCHDASH,e7,00
29;O,CATCHDASH,CATCHDASH,28,00
30;O,CATCHDASH,CATCHDASH,29,00
31;O,CATCHDASH,CATCHDASH,30,00
32;O,CATCHDASH,CATCHDASH,31,_oo
33;O,CATCHDASH,CATCHDASH,32,00
34;O,CATCHDASH,CATCHDASH,33,00
35;O,CATCHDASH,CATCHDASH,34,_o00
36;O,CATCHDASH,CATCHDASH,35,00
37;O,CATCHDASH,CATCHDASH,3b,_00
38;O,CATCHDASH,CATCHDASH,37,00
39;O,CATCHDASH,CATCHDASH,38,00
40;O,CATCHDASH,CATCHDASH,39,00
41;O,CATCHDASH,CATCHDASH,40,00
42;O,CATCHDASH,CATCHDASH,4!,oo
43;O,CATCHDASH,CATCHDASH,42,00
44;O,CATCHDASH,CATCHDASH,43,00
45;O,CATCHDASH,CATCHDASH,44,_00
46;O,CATCHDASH,CATCHDASH,4+S_00
47;O,CATCHDASH,CATCHDASH,+b_OO
48;O,CATCHDASH,CATCHDASH,47,00
49;O,CATCHDASH,CATCHDASH,46,00
50;O,CATCHDASH,CATCHDASH,49,00
51;O,CATCHDASH,CATCHDASH,so_.o00
52;O,CATCHDASH,CATCHDASH,si,_oo
53;O,CATCHDASH,CATCHDASH,se_oo
54;O,CATCHDASH,CATCHDASH,$3,000
55;O,CATCHDASH,CATCHDASH,s4¥_o0o
56;O,CATCHDASH,CATCHDASH,ss_oo
57;O,CATCHDASH,CATCHDASH,Sb_oOo
58;O,CATCHDASH,CATCHDASH,s7_o00
59;O,CATCHDASH,CATCHDASH,s6_.o00
60;O,CATCHDASH,CATCHDASH,$900
61;O,CATCHDASH,CATCHDASH,bO_oOO0
62;O,CATCHDASH,CATCHDASH,BI,_oo
63;O,CATCHDASH,CATCHDASH,be,_oo
64;O,CATCHDASH,CATCHDASH,63,00
65;O,CATCHDASH,CATCHDASH,bY,OO
66;O,CATCHDASH,CATCHDASH,bS_oOo
67;O,CATCHDASH,CATCHDASH,bb,_OO
68;O,CATCHDASH,CATCHDASH,b7_oOO0
69;O,CATCHDASH,CATCHDASH,be,oOo
70;O,CATCHDASH,CATCHDASH,69,00
71;O,CATCHDASH,CATCHDASH,70,00
72;O,CATCHDASH,CATCHDASH,a,|,_oo
73;O,CATCHDASH,CATCHDASH,72,00
