frame;text
1;Oo,355,309,oo
2;Oo,355,309
3;O,35b
4;O,35b,_oo
5;O,35b
6;O,35b,_oo
7;O,35b,_oo
8;O,35b
9;O,35b,_oo
10;O,35b,310,10,00,a>
11;O,35b,oo
12;O,35b,310,12,00,x
13;O,35b,310,13,00
14;O,35b,310,14,00
15;O,35b,310,1S_o00
16;O,35b,310,1b,,00
17;O,35b,310,17,00
18;O,35b,310,18,00
19;O,35b,310,19,00
20;O,35b,310,20,00,ce
21;O,35b,ae,el,_oo
22;O,35b,310,e2_.oo
23;O,35b,310,23,00,*
24;O,35b,310,24,00,*
25;O,35b,310,25,00
26;O,35b,310,2b_00
27;O,35b,310,27,00,=
28;O,35b,310,28,00,*®
29;O,35b,310,29_00,a
30;O,35b,310,30,00,im
31;O,35b,31,_oo
32;O,35b,310,32,00,5
33;O,35b,310,33,00,se
34;O,35b,310,34,oo
35;O,35b,310,35,00,%
36;O,35b,310,3b,_00
37;Oo,355,309,37,00,eo
38;Oo,355,309,38,00,ag
39;Oo,355,309,39,00,a,.,>
40;o,35s,309,40_00,%
41;Oo,355,309,4!,oo
42;o,35s,309,42_00,*e¢
43;o,35s,309,43,00
44;o,35s,309,4400
45;o,35s,309,4S_00
46;o,35s,309,4b_00
47;o,35s,309,47,00
48;o,35s,309,48_00
49;o,35s,309,4900
50;Oo,355,309,so_.o00
51;Oo,355,309,si,_oo
52;Oo,355,309,se_oo
