frame;text
1;O,ATTACKLWS3,ATTACKLW3,oo
2;O,ATTACKLWS3,ATTACKLW3
3;O,ATTACKLWS3,ATTACKLW3
4;O,ATTACKLWS3,ATTACKLW3,_oo
5;O,ATTACKLWS3,ATTACKLW3
6;O,ATTACKLWS3,ATTACKLW3,b_oOOo
7;O,ATTACKLWS3,ATTACKLW3,7,00
8;O,ATTACKLWS3,ATTACKLW3,68,00
9;O,ATTACKLWS3,ATTACKLW3,94,00,T
10;O,ATTACKLWS3,ATTACKLW3,10,00,T
11;O,ATTACKLWS3,ATTACKLW3,11.00,T
12;O,ATTACKLWS3,ATTACKLW3,12,00
13;O,ATTACKLWS3,ATTACKLW3,13,00
14;O,ATTACKLWS3,ATTACKLW3,14,00
15;O,ATTACKLWS3,ATTACKLW3,15,00
16;O,ATTACKLWS3,ATTACKLW3,1b,00,T
17;O,ATTACKLWS3,ATTACKLW3,17,00
18;O,ATTACKLWS3,ATTACKLW3,16,00
19;O,ATTACKLWS3,ATTACKLW3,19,00
20;O,ATTACKLWS3,ATTACKLW3,20,00
21;O,ATTACKLWS3,ATTACKLW3,21,00
22;O,ATTACKLWS3,ATTACKLW3,e2_.oo
23;O,ATTACKLWS3,ATTACKLW3,23,00
24;O,ATTACKLWS3,ATTACKLW3,e4,oo
25;O,ATTACKLWA,ATTACKLW3,2s_o0
26;O,ATTACKLWS3,ATTACKLW3,2b_00
27;O,ATTACKLWS3,ATTACKLW3,e7,00
28;O,ATTACKLWS3,ATTACKLW3,28,00
29;O,ATTACKLWS3,ATTACKLW3,29,00
30;O,ATTACKLWS3,ATTACKLW3,30,00
31;O,ATTACKLWS3,ATTACKLW3,31,00
32;O,ATTACKLWS3,ATTACKLW3,32,00
33;O,ATTACKLWS3,ATTACKLW3,33,00
34;O,ATTACKLWS3,ATTACKLW3,34,_o00
35;O,ATTACKLWS3,ATTACKLW3,35,00
36;O,ATTACKLWS3,ATTACKLW3,3b,_00
37;O,ATTACKLWS3,ATTACKLW3,37,00
38;O,ATTACKLWS3,ATTACKLW3,38,00
