frame;text
1;O,ATTACKAIRF,ATTACKAIRF,oo
2;O,ATTACKAIRF,ATTACKAIRF
3;O,ATTACKAIRF,ATTACKAIRF
4;O,ATTACKAIRF,ATTACKAIRE,_oo
5;O,ATTACKAIRF,ATTACKAIRE
6;oo,JMIVADVLIV,JMIVASVLIiv,O
7;O,ATTACKAIRF,ATTACKAIRE,7,00
8;O,ATTACKAIRF,ATTACKAIRF
9;O,ATTACKAIRF,ATTACKAIRF,_oo
10;O,ATTACKAIRF,ATTACKAIRF,10,00
11;O,ATTACKAIRF,ATTACKAIRE,oo
12;O,ATTACKAIRF,ATTACKAIRE,12,00
13;O,ATTACKAIRF,ATTACKAIRE,13,00
14;O,ATTACKAIRF,ATTACKAIRE,14,00
15;O,ATTACKAIRF,ATTACKAIRF,15,00
16;O,ATTACKAIRF,ATTACKAIRF,1b,00
17;O,ATTACKAIRF,ATTACKAIRF,17,00
18;O,ATTACKAIRF,ATTACKAIRE,16,00
19;O,ATTACKAIRF,ATTACKAIRE,19,00
20;oo"oe,JSULVADVLLV,JMIVADVLIV,O
21;O,ATTACKAIRF,ATTACKAIRE,21,00
22;oo"ze,JMIVADVLLV,JMIVaDVLIv,oO
23;O,ATTACKAIRF,ATTACKAIRE,23,00
24;O,ATTACKAIRF,ATTACKAIRF,e4,oo
25;oo"sa,JSULVADVLLV,JMIVADVLIV,O
26;oo,"92,JMNIVADVLIV,JuIVaDVLIV,oO
27;oo"2ea,JSULVADVLLV,JMIVADVLIV,O
28;oo"B2,JSULVADVLLV,JMIVADVLIV,O
29;O,ATTACKAIRF,ATTACKAIRE,29,00
30;00,"OE,JSULVADVLLV,JMIVADVLIV,O
31;O,ATTACKAIRF,ATTACKAIRE,_oo
32;00,"2e,JSULVADVLLV,JMIVADVLIV,O
33;00,"cE,JSULVADVLLV,JMIVADVLIV,O
34;O,ATTACKAIRF,ATTACKAIRE,34,_o00
35;O,ATTACKAIRF,ATTACKAIRE,35,00
36;O,ATTACKAIRF,ATTACKAIRF,3b,_00
37;O,ATTACKAIRF,ATTACKAIRF,37,00
38;O,ATTACKAIRF,ATTACKAIRF,38,00
39;O,ATTACKAIRF,ATTACKAIRF,39,00
40;O,ATTACKAIRF,ATTACKAIRE,40,00
41;O,ATTACKAIRF,ATTACKAIRF,4!,oo
42;O,ATTACKAIRF,ATTACKAIRF,42,00
43;O,ATTACKAIRF,ATTACKAIRF,43,00
44;O,ATTACKAIRF,ATTACKAIRF,44,_00
45;O,ATTACKAIRF,ATTACKAIRF,4+S_00
46;O,ATTACKAIRF,ATTACKAIRF,+b_OO
47;O,ATTACKAIRF,ATTACKAIRF,47,00
48;O,ATTACKAIRF,ATTACKAIRF,46,00
49;O,ATTACKAIRF,ATTACKAIRF,49,00
50;O,ATTACKAIRF,ATTACKAIRF,so_.o00
51;O,ATTACKAIRF,ATTACKAIRF,si,_oo
52;O,ATTACKAIRF,ATTACKAIRF,se_oo
53;O,ATTACKAIRF,ATTACKAIRF,$3,000
54;O,ATTACKAIRF,ATTACKAIRF,s4¥_o0o
