frame;text
1;O,CATCH,CATCH
2;O,CATCH,CATCH,oo
3;O,CATCH,CATCH
4;O,CATCH,CATCH
5;O,CATCH,CATCH,_oo
6;O,CATCH,CATCH
7;O,CATCH,CATCH,_oo
8;O,CATCH,CATCH,_oo
9;O,CATCH,CATCH
10;O,CATCH,CATCH,_oo
11;O,CATCH,CATCH,10,00
12;O,CATCH,CATCH,oo,L
13;O,CATCH,CATCH,12,00
14;O,CATCH,CATCH,13,00
15;O,CATCH,CATCH,14,00,L
16;O,CATCH,CATCH,1S_o00
17;O,CATCH,CATCH,1b,,00,L
18;O,CATCH,CATCH,17,00,L
19;O,CATCH,CATCH,18,00
20;O,CATCH,CATCH,19,00,L
21;O,CATCH,CATCH,20_00
22;O,CATCH,CATCH,el,_oo,L
23;O,CATCH,CATCH,22_00
24;O,CATCH,CATCH,23_00
25;O,CATCH,CATCH,24,00,L
26;O,CATCH,CATCH,2s_o0
27;O,CATCH,CATCH,2.00,OL
28;O,CATCH,CATCH,27,00,L
29;O,CATCH,CATCH,2e.00,OL
30;O,CATCH,CATCH,29,00,L
31;O,CATCH,CATCH,30,00
32;O,CATCH,CATCH,31,00,L
33;O,CATCH,CATCH,32,00,L
34;O,CATCH,CATCH,33,00
35;O,CATCH,CATCH,B4¥.00,OL
36;O,CATCH,CATCH,3S.00,OL
37;O,CATCH,CATCH,3b,,00,L
38;O,CATCH,CATCH,37,00,L
39;O,CATCH,CATCH,3e.00,L
40;O,CATCH,CATCH,39,00,L
41;O,CATCH,CATCH,40,00,L
42;O,CATCH,CATCH,41.00,L
43;O,CATCH,CATCH,42_00
44;O,CATCH,CATCH,43.00,L
45;O,CATCH,CATCH,4400,L
46;O,CATCH,CATCH,4S_00
47;O,CATCH,CATCH,4b,.00,OL
48;O,CATCH,CATCH,47,00,L
49;O,CATCH,CATCH,48_00
50;O,CATCH,CATCH,4900,L
51;O,CATCH,CATCH,so.oo,OL
52;O,CATCH,CATCH,si,_oo,L
53;O,CATCH,CATCH,s2?.00,L
54;O,CATCH,CATCH,s3.00,L
55;O,CATCH,CATCH,s4¥_o00,L
56;O,CATCH,CATCH,ss.00,L
57;O,CATCH,CATCH,Sb.oO,OL
58;O,CATCH,CATCH,s?7_00,L
59;O,CATCH,CATCH,se.oo,LL
60;O,CATCH,CATCH,s9_o0,L
61;O,CATCH,CATCH,bo_oo
62;O,CATCH,CATCH,bI.oOO,UL
63;O,CATCH,CATCH,b2e.0OO,OL
64;O,CATCH,CATCH,b3_00
65;O,CATCH,CATCH,bY,oo,L
66;O,CATCH,CATCH,bS.0O,OL
67;O,CATCH,CATCH,bb_,oo,L
68;O,CATCH,CATCH,b?_00,L
69;O,CATCH,CATCH,be.ooO,OL
70;O,CATCH,CATCH,b9_00,L
71;O,CATCH,CATCH,70,00
72;O,CATCH,CATCH,71,00,L
73;O,CATCH,CATCH,72,00
74;O,CATCH,CATCH,73,00
75;O,CATCH,CATCH,74_00,L
76;O,CATCH,CATCH,75,00
77;O,CATCH,CATCH,76,00,L
78;O,CATCH,CATCH,77,00,L
79;O,CATCH,CATCH,78,00
80;O,CATCH,CATCH,79,00,L
81;O,CATCH,CATCH,80_00
82;O,CATCH,CATCH,_oo,L
83;O,CATCH,CATCH,82_00
84;O,CATCH,CATCH,83_00
85;O,CATCH,CATCH,84,oo,L
86;O,CATCH,CATCH,es_oo
87;O,CATCH,CATCH,8b_o00,L
88;O,CATCH,CATCH,87_o00,L
89;O,CATCH,CATCH,88_o00
90;O,CATCH,CATCH,8900,L
91;O,CATCH,CATCH,90,00
92;O,CATCH,CATCH,a1,_oo,L
93;O,CATCH,CATCH,92,00
