frame;text
1;oO,343,247,oo,LR
2;oO,343,247,LR
3;oO,343,247,LR
4;oO,343,247,_oo,LR
5;oO,343,247,LR
6;oO,343,247,_oo,LR
7;oO,343,247,_oo,LR
8;oO,343,247,LR
9;oO,343,247,_oo,LR
10;oO,343,297,10,00,LR
11;oO,343,247,11.00,LR
12;oO,343,297,12,00,LR
13;oO,343,297,13,00,LR
14;oO,344,278,LR
15;
16;
17;oO,344,278,LR
18;oO,344,278,.oo,LR
19;
20;
21;
22;
23;oO,344,LR
24;oO,344,278,LR
25;
26;
27;
28;oO,344
29;oO,344,298,s_oo,LR
30;
31;7,00
32;oO,344
33;
34;o,344,278
35;
36;
37;LR,oo,278,oO,344
38;o,344,278,LR
39;
40;
41;oO,344
42;oO,344
43;oO,344,278,_oo,LR
