frame;text
1;o,350,304,oo,LR
2;o,350,304,LR
3;o,350,304,LR
4;o,350,304,_oo,LR
5;o,350,304,LR
6;o,350,304,_oo,LR
7;o,350,304,_oo,LR
8;o,350,304,LR
9;o,350,304,_oo,LR
10;o,350,304,10,00,LR
11;Oo,350,304,11.00,LR
12;o,350,304,12,00,LR
13;o,350,304,13,00,LR
14;o,350,304,14,00,L
15;o,350,304,1S_o00
16;o,350,304,1b,,00,L
17;o,350,304,17,00,L
18;o,350,304,18,00
19;o,350,304,19,00,L
20;o,350,304,20,00
21;o,350,304,el,_oo,L
22;o,350,304,e2_.oo
23;o,350,304,23,00
24;o,350,304,24,00,L
25;o,350,304,25,00
26;o,350,304,2b_00,L
27;o,350,304,27,00,L
28;o,350,304,28_00,L
29;o,350,304,29_00,L
30;o,350,304,30,00
31;o,350,304,_oo,L
32;o,350,304,32,00
33;o,350,304,33,00
34;o,350,304,ns,34,oo,L
35;o,350,304,35,00
36;o,350,304,3b,,00,L
37;o,350,304,37,00,L
38;o,350,304,38,00
39;o,350,304,39,00,L
40;o,350,304,40_00
41;o,350,304,4!,oo,L
42;o,350,304,42_00
43;o,350,304,43,00,LR
44;o,350,304,44,00,LR
45;o,350,304,45.00,LR
46;
47;
48;o,350,304,48,00,LR
