frame;text
1;Oo,353,307,oo
2;Oo,353,307
3;Oo,353,307
4;Oo,353,307,_oo
5;Oo,353,307
6;Oo,353,307,_oo
7;Oo,353,307,_oo
8;Oo,353,307,68,00
9;oo,307,Oo,353
10;oO,353,307,10,00
11;Oo,353,307,oo
12;oO,353,307,12,00
13;oO,353,307,13,00
14;oO,353,307,14,00
15;oO,353,307,1S_o00
16;oO,353,307,1b,,00
17;oO,353,307,17,00
18;oO,353,307,18,00
19;oO,353,307,19,00
20;Oo,353,307,20,00
21;Oo,353,307,el,_oo
22;Oo,353,307,e2_.oo
23;Oo,353,307,23,00
24;Oo,353,307,e+,oo
25;Oo,353,307,25,00
26;Oo,353,307,2b_00
27;Oo,353,307,27,00
28;Oo,353,307,28,00
29;Oo,353,307,29,00
30;Oo,353,307,30,00
31;Oo,353,307,31,_oo
32;Oo,353,307,32,00
33;Oo,353,307,33,00
34;Oo,353,307,34,O00
35;Oo,353,307,35,00
36;Oo,353,307,3b,_00
37;Oo,353,307,37,00
38;Oo,353,307,38,00
39;Oo,353,307,39,00
40;oO,353,307,40_00
41;Oo,353,307,4!,oo
42;oO,353,307,42_00
43;oO,353,307,43,00
44;oO,353,307,4400
45;oO,353,307,4S_00
46;oO,353,307,4b_00
47;oO,353,307,47,00
48;oO,353,307,48_00
