frame;text
1;2a9,1.00,-1,oo
2;2a9,2.00,-1,oo
3;2a9,3,00,=-1,00
4;2a9,4_o00,-1,00
5;2a9,s_oo,=-1,oo
6;2a9,boo,-1,oo
7;2a9,7.00,-1,oo
8;302,o.oo,-1,00
9;302,1.00,-1,oo
10;302,2.00,-1,oo
11;302,3,00,=-1,00
12;302,4_o00,-1,00
13;302,s_oo,=-1,oo
14;302,boo,-1,oo
15;302,7.00,-1,oo
16;302,8.00,-1,00
17;302,9_o00,-1,oo
18;302,10,00,-1'o0
19;302
20;302,12,00,-1'o0
21;302
22;302,14,O00,-1*o00
23;302,1S_o0,-1"o0
24;302,1b,OO,-!"o0
25;302
26;302,oo,"oo
27;302,9,,-I,oo,"oo
28;302,20,,-ty,oo,oo
29;302
30;302,22,,-ty,oo,oo
31;302,23,,-!,oo,"oo
32;302,24,,-I,oo,"oo
33;302,es,,-ty,oo,oo
34;302,2b_00,-!"oo
35;302,27,00,-1'o0
36;302,28,,-ty,oo,oo
37;302,29,00,-1'o0
38;302,30,,-ty,oo,oo
