frame;text
1;ATTACKAIRG,1.00,-1,oo
2;ATTACKAIRG,2.00,-1,oo
3;ATTACKAIRG,3,00,=-1,00
4;oo,_1L-,oo,4,BNMIVADVLIV,d3318,BNMIVvAOVLIV,Oo,Oo
5;oo",-,d3a3a1s,o,oo's,BULVADVLLV,BMIvaDVLiv,oO
6;oo",-,d3a3a1s,o,oo'9,BULVADVLLV,BMIvaDVLiv,oO
7;oo,_1L-,oo,2,BNMIVADVLIV,d3318,BNMIVvAOVLIV,Oo,Oo
8;ATTACKAIRG,8.00,-1,00
9;ATTACKAIRG,9_o00,-1,oo
10;ATTACKAIRB,10,00,-1'o0
11;ATTACKAIRG
12;ATTACKAIRB,12,00,-1'o0
13;ATTACKAIRG
14;ATTACKAIRG,14,O00,-1*o00
15;ATTACKAIRB,1S_o0,-1'o0
16;ATTACKAIRB,1b,,oO,-1'o0
17;ATTACKAIRG
18;ATTACKAIRB,18,00,-1'o0
19;ATTACKAIRB,19,00,-1'o0
20;ATTACKAIRG,20,,-ty,oo,oo
21;ATTACKAIRG
22;ATTACKAIRG,22,,-!,oo,"oo
23;ATTACKAIRG,23,,-!,oo,"oo
24;ATTACKAIRB,24,_o00,-1'o0
25;ATTACKAIRG,es,,-!,oo,"oo
26;ATTACKAIRB,2b_00,-!"oo
27;ATTACKAIRB,27,00,-1'o0
28;ATTACKAIRG,28,,-ty,oo,oo
29;ATTACKAIRG,ea,,-1,oo,"oo
30;ATTACKAIRG,30,,-!,oo,"oo
31;ATTACKAIRG
32;ATTACKAIRG,32,,-ty,oo,oo
33;ATTACKAIRG,33,,-ty,oo,oo
34;ATTACKAIRG,34,-I,oo,"oo
35;ATTACKAIRG,3s,,-ty,oo,oo
36;ATTACKAIRB,3b,,00,-1'o0
