frame;text
1;ATTACKAIRLW,1.00,-1,oo
2;ATTACKAIRLW,2.00,-1,oo
3;ATTACKAIRLW,3,00,=-1,00
4;ATTACKAIRLW,4_o00,-1,00
5;ATTACKAIRLW,s_oo,=-1,oo
6;ATTACKAIRLW,boo,-1,oo
7;ATTACKAIRLW,7.00,-1,oo
8;ATTACKAIRLW,8.00,-1,00
9;ATTACKAIRLW,9_o00,-1,oo
10;ATTACKAIRLW,10,,-I,oo,"oo
11;ATTACKAIRLW
12;ATTACKAIRLW,12,00,-1'o0
13;ATTACKAIRLW
14;ATTACKAIRLW,14,O00,-1*o00
15;ATTACKAIRLW,1S,,-I,oo,"oo
16;ATTACKAIRLW,Ib,,-1,oo,"oo
17;ATTACKAIRLW
18;ATTACKAIRLW,oo,"oo
19;ATTACKAIRLW,9,,-I,oo,"oo
20;ATTACKAIRLW,20,,-!,oo,"oo
21;ATTACKAIRLW
22;ATTACKAIRLW,22,,-!,oo,"oo
23;ATTACKAIRLW,23,,-!,oo,"oo
24;ATTACKAIRLW,24,,-I,oo,"oo
25;ATTACKAIRLW,es,,-!,oo,"oo
26;ATTACKAIRLW,2b,,-!,oo,"oo
27;ATTACKAIRLW,e7,,-1,oo,"oo
28;ATTACKAIRLW,28,,-!,oo,"oo
29;ATTACKAIRLW,ea,,-1,oo,"oo
30;ATTACKAIRLW,30,,-!,oo,"oo
31;ATTACKAIRLW
32;ATTACKAIRLW,32,,-!,oo,"oo
33;ATTACKAIRLW,33,,-!,oo,"oo
34;ATTACKAIRLW,34,-I,oo,"oo
35;ATTACKAIRLW,3s,,-!,oo,"oo
36;ATTACKAIRLW,Bb.,-!,oo,"oo
37;ATTACKAIRLW,37,,-1,oo,"oo
38;ATTACKAIRLW,38,,-!,oo,"oo
39;ATTACKAIRLW,39,,-1,oo,"oo
40;ATTACKAIRLW,40,00,-1'o0
41;ATTACKAIRLW
42;ATTACKAIRLW,42,00,-1'o0
43;ATTACKAIRLW,43.,-I,oo,"oo
44;ATTACKAIRLW,44,OO,-1*o00
45;ATTACKAIRLW,4S.,-I,oo,"oo
46;ATTACKAIRLW,4b.,-I,oo,"oo
47;ATTACKAIRLW,47),-I,oo,"oo
