frame;text
1;CATCHDASH,o.oo,-1,00
2;CATCHDASH,1.00,-1,oo
3;CATCHDASH,2.00,-1,oo
4;CATCHDASH,3,00,=-1,00
5;CATCHDASH,4_o00,-1,00
6;CATCHDASH,s_oo,=-1,oo
7;CATCHDASH,boo,-1,oo
8;CATCHDASH,7.00,-1,oo
9;CATCHDASH,8.00,-1,00
10;CATCHDASH,9_o00,-1,oo
11;CATCHDASH,10,00,-1'o0
12;CATCHDASH
13;CATCHDASH,12,,-I,oo,"oo
14;CATCHDASH
15;CATCHDASH,14,O00,-1*o00
16;CATCHDASH,1S,,-I,oo,"oo
17;CATCHDASH,Ib,,-1,oo,"oo
18;CATCHDASH
19;CATCHDASH,oo,"oo
20;CATCHDASH,9,,-I,oo,"oo
21;CATCHDASH,20,,-!,oo,"oo
22;CATCHDASH
23;CATCHDASH,22,,-!,oo,"oo
24;CATCHDASH,23,,-!,oo,"oo
25;CATCHDASH,24,,-I,oo,"oo
26;CATCHDASH,es,,-ty,oo,oo
27;CATCHDASH,2b_00,-!"oo
28;CATCHDASH,e7,,-1,oo,"oo
29;CATCHDASH,28,,-!,oo,"oo
30;CATCHDASH,ea,,-1,oo,"oo
31;CATCHDASH,30,,-!,oo,"oo
32;CATCHDASH
33;CATCHDASH,32,,-!,oo,"oo
34;CATCHDASH,33,,-ty,oo,oo
35;CATCHDASH,34,oo,-1'o0
36;CATCHDASH,3s,,-ty,oo,oo
37;CATCHDASH,Bb.,-!,oo,"oo
38;CATCHDASH,37,00,-1'o0
39;CATCHDASH,»,38,,-!,oo,"oo
