frame;text
1;ATTACKDASH,1.00,-1,oo
2;ATTACKDASH,2.00,-1,oo
3;ATTACKDASH,3,00,=-1,00
4;ATTACKDASH,4_o00,-1,00
5;ATTACKDASH,s_oo,=-1,oo
6;ATTACKDASH,boo,-1,oo
7;ATTACKDASH,7.00,-1,oo
8;oo",-,d3a3a1s,o,oo,8,HSVISSVLLV,HSvdaovliiv,O
9;oo,L-,d3318,oOo,b&b,HS,Vda,oVLIV,HSvdaovLliv,Oo,Oo
10;oo:,aie,J3a318S,a,oo,o1,HSvd,a,ovLiv,HSvdsa5vLliv,O
11;HS,Vda,oVLIV,d3318,HSvdaovLliv,Oo,Oo
12;oof1-,d3a3a1s,o
13;d3378,oO,HS,Vda,oVLIV,HSvdaovliv,O
14;&.,3,Y,oof1-,d3a3a1s,o,oo,hi,HSVAIaADVLLV,HSvdaovliiv,O
15;oo,1-,d3378,oO
16;oo,1-,d3378,oO
17;d3378,oO,HS,Vda,oVLIV,HSvdaovliv,O
18;oof1-,d3a3a1s,o
19;oof1-,d3a3a1s,o
20;ATTACKDASH,20,,-ty,oo,oo
21;ATTACKDASH
22;ATTACKDASH,22,,-ty,oo,oo
23;ATTACKDASH,23,,-ty,oo,oo
24;ATTACKDASH,24,00,-1'o0
25;ATTACKDASH,es,,-!,oo,"oo
26;ATTACKDASH,2b_00,-!"oo
27;ATTACKDASH,e7,,-1,oo,"oo
28;ATTACKDASH,28,,-ty,oo,oo
29;ATTACKDASH,29_00,-1'o0
30;ATTACKDASH,30,,-ty,oo,oo
31;ATTACKDASH
32;ATTACKDASH,32,,-!,oo,"oo
33;ATTACKDASH,33,,-!,oo,"oo
34;ATTACKDASH,34,-I,oo,"oo
35;ATTACKDASH,3s,,-!,oo,"oo
36;WALKSLOW,WALKSLOW,SLEEP,Oo,Oo,oo,oo
