frame;text
1;oo,_oo,313
2;2.00,_oo,313
3;3,00,_oo,313
4;oo,-1,oo,4,313
5;s_oo,_oo,313
6;boo,_oo,313
7;
8;8.00,_oo,313
9;9_o00,-1,oo
10;10,00,-1'o0,313
11;313
12;12,00,-1'o0,313
13;
14;14,00,-1*o00,313
15;1S_o0,-1"o0,313
16;1b,OO,-!"o0,313
17;313
18;168,00,313,-1*o00
19;19_00,-1*o00
20;20_00,-1'o0
21;313
22;22.00,-'"o0,313
23;23,00,-1*o00
24;
25;25,00,-1*o00
26;_oo,-!"oo,2b
27;_oo,-1'o0,27,313
28;28_00,-I"o0
29;_oo,-1'o0,2a
30;30,00,-1"o0
31;313
32;32,00,-1"o0
33;33,00,=-17o00
34;34,_o00,-1*o00
35;3s_o0,=-1"o0
36;3b,,00,-1'o0
37;O,SLEEP,O,356,308,-1_00,o_oo
38;O,SLEEP,oO,356,308,-1,oo,oo
39;O,SLEEP,oO,356,308,-!_00,2,oo
40;O,SLEEP,oO,356,308,-1,00,3,600
41;O,SLEEP,oO,356,308,1.00,4,00
42;O,SLEEP,O,356,308,-1_00,s_oo
43;O,SLEEP,O,356,308,-1,00,b_oo
44;O,SLEEP,oO,356,308,1.00,7,00
45;O,SLEEP,O,356,308,-1_00,8_oo
46;O,SLEEP,O,356,308,-!.00,q,oo
47;O,SLEEP,O,356,308,-1,00,10700
48;O,SLEEP,O,356,308
49;O,SLEEP,O,356,308,-1,00,12700
50;O,SLEEP,O,356,308
51;O,SLEEP,O,356,308,-1,00,14700
52;O,SLEEP,O,356,308,-1,00,1s"oo
53;O,SLEEP,O,356,308,-1,00,16700
54;O,SLEEP,O,356,308
55;O,SLEEP,O,356,308,-1,00,16700
56;O,SLEEP,O,356,308,-1,00,19700
57;O,SLEEP,O,356,308,-1,00,20'00
58;O,SLEEP,O,356,308
59;O,SLEEP,O,356,308,-1,00,2e'00
60;O,SLEEP,O,356,308,-1,00,23°00
61;O,SLEEP,O,356,308,-1,o00,24"o00
