frame;text
1;ATTACKLW3
2;ATTACKLW3
3;ATTACKLW3
4;ATTACKLW3
5;ATTACKLW3
6;ATTACKLW3
7;ATTACKLW3
8;ATTACKLW3
9;ATTACKLW3,Yn
10;O,ATTACKLWS3,ATTACKLW3,10,00,O,SLEEP,-1,00
11;Oo,Oo,ATTACKLWI3,SLEEP,ATTACKLW3
12;Oo,Oo,ATTACKLWI3,SLEEP,ATTACKLW3
13;Oo,Oo,ATTACKLWI3,SLEEP,ATTACKLW3
14;Oo,Oo,ATTACKLWI3,SLEEP,ATTACKLW3
15;al-,si,EM,ISASVLLIV,d3318,EM,1SASVLLIiv,Oo,Oo
16;Oo,Oo,ATTACKLWI3,SLEEP,ATTACKLW3,——
17;d3378,oO,EM,ISASVLLIV,EM,1a,5viiv,O
18;ATTACKLW3
19;ATTACKLW3
20;ATTACKLW3
21;ATTACKLW3
22;ATTACKLW3,22,,-!
23;ATTACKLW3,23,,-!
24;ATTACKLW3
25;ATTACKLW3
26;ATTACKLW3,2b,,-!
27;ATTACKLW3
28;ATTACKLW3,28,00,-1'o00
