frame;text
1;ATTACKAIRF,1.00,-1,oo
2;ATTACKAIRF,2.00,-1,oo
3;ATTACKAIRF,3,00,=-1,00
4;ATTACKAIRF,4_o00,-1,00
5;ATTACKAIRF,s_oo,=-1,oo
6;ATTACKAIRF,boo,-1,oo
7;ATTACKAIRF,7.00,-1,oo
8;ATTACKAIRF,8.00,-1,00
9;ATTACKAIRF,9_o00,-1,oo
10;ATTACKAIRF,10,00,-1'o0
11;ATTACKAIRF
12;ATTACKAIRF,12,00,-1'oo
13;ATTACKAIRF
14;ATTACKAIRF,14,00,-1°00
15;ATTACKAIRF,1S_o00,-1"o0
16;ATTACKAIRF,I1b_OO0,-1'o0
17;ATTACKAIRF
18;ATTACKAIRF,18,00,-1'o0
19;ATTACKAIRF,19_00,-1'o00
20;ATTACKAIRF,20,,-ty,oo,oo
21;ATTACKAIRF
22;ATTACKAIRF,22,,-ty,oo,oo
23;ATTACKAIRF,23,,-ty,oo,oo
24;ATTACKAIRF,24,,-I,oo,"oo
25;ATTACKAIRF,es,,-ty,oo,oo
26;ATTACKAIRF,2b,,-!,oo,"oo
27;ATTACKAIRF,27_00,-1"o0
28;ATTACKAIRF,28,,-ty,oo,oo
29;ATTACKAIRF,29_00,-17o0
30;ATTACKAIRF,30,,-ty,oo,oo
31;ATTACKAIRF
32;ATTACKAIRF,32,,-!,oo,"oo
