frame;text
1;ATTACKS4#S,1.00,-1,oo
2;ATTACKS4#S,1.00,-1,oo
3;ATTACKS4#S,2.00,-1,oo
4;O,ATTACKSYS,ATTACKS4¥S,3,00,O,SLEEP,-1_o00
5;ATTACKS4#S,4_o00,-1,00
6;ATTACKS4#S,s_oo,=-1,oo
7;ATTACKS4#S,boo,-1,oo
8;ATTACKS4#S,7.00,-1,oo
9;ATTACKS4#S,8.00,-1,00
10;ATTACKS4#S,9_o00,-1,oo
11;ATTACKS4S,10,00,-1700
12;ATTACKS4#S
13;O,ATTACKSYS,ATTACKS4S,12,00,O,SLEEP,-1'o00
14;ATTACKS4#S
15;ATTACKS4#S,14,O00,-1*o00
16;O,ATTACKSYS,ATTACKS4S,1S_o0,O,SLEEP,-1'00
17;O,ATTACKS4S,ATTACKS4S,1b,o00,O,SLEEP,-1"o0
18;d3378,oO,SASADVLLV,ShSaOVLLlv,O
19;O,ATTACKSYS,ATTACKS4¥S,18,00,O,SLEEP,-1'o00
20;oof1-,d3a3a1s,o
21;af,ATTACKS4#S,20,,-ty,oo,oo
22;ATTACKS4#S
23;ATTACKS4#S,22,,-!,oo,"oo
24;ATTACKS4#S,23,,-!,oo,"oo
25;ATTACKS4#S,24,,-I,oo,"oo
26;ATTACKS4#S,es,,-!,oo,"oo
27;ATTACKS4#S,2b,,-!,oo,"oo
28;ATTACKS4S,27,00,-1'o0
29;ATTACKS4#S,28,,-ty,oo,oo
30;ATTACKS4S,29,00,-1'o0
31;ATTACKS4#S,30,,-ty,oo,oo
32;ATTACKS4#S
33;ATTACKS4#S,32,,-ty,oo,oo
34;ATTACKS4#S,33,,-ty,oo,oo
35;ATTACKS4S,34,oo,=-1'o0
36;ATTACKS4#S,3s,,-ty,oo,oo
37;O,ATTACKS4#S,ATTACKS4S,3b,_00,O,SLEEP,-1,00
38;oof1-,d3a3a1s,o
39;oof1-,d3a3a1s,o
40;oof1-,d3a3a1s,o
41;O,ATTACKSYS,ATTACKS4S,40_00,O,SLEEP,-1'o00
42;ATTACKS4#S
43;ATTACKS4#S,ie,-I,oo,"oo
44;ATTACKS4#S,43.,-I,oo,"oo
45;ATTACKS4#S,44,OO,-1*o00
46;ATTACKS4#S,4S.,-I,oo,"oo
47;ATTACKS4#S,4b_00,-1°00
48;ATTACKS4#S,47,00,-1"o00
49;ATTACKS4#S,48_00,-1°00
