frame;text
1;ATTACKS3S,1.00,-1,oo
2;ATTACKS3S,2.00,-1,oo
3;ATTACKS3S,3,00,=-1,00
4;ATTACKS3S,4_o00,-1,00
5;O,ATTACKSAS,ATTACKS3S,s_oo,O,SLEEP,-1_o00
6;O,ATTACKS3S,ATTACKS3S,6b,oO,O,SLEEP,-1_o0
7;O,ATTACKSAS,ATTACKS3S,7.00,O,SLEEP,-1_o0
8;O,ATTACKSAS,ATTACKS3S,8.00,O,SLEEP,-1_o00
9;O,ATTACKSAS,ATTACKS3S,9.00,O,SLEEP,-1_o00
10;O,ATTACKSAS,ATTACKSAS,10,00,O,SLEEP,-1,00
11;ATTACKS3S
12;ATTACKS3S,12,00,-1'o0
13;ATTACKS3S
14;ATTACKS3S,14,O00,-1*o00
15;ATTACKS3S,1S_o0,-1'o0
16;ATTACKSAS,I1b_OO0,-1'o0
17;ATTACKS3S
18;ATTACKS3S,18,00,-1'o0
19;ATTACKS3S,19_00,-1700
20;ATTACKS3S,20,,-!,oo,"oo
21;ATTACKS3S
22;ATTACKS3S,22,,-ty,oo,oo
23;ATTACKS3S,23,,-ty,oo,oo
24;ATTACKS3S,24,,-I,oo,"oo
25;ATTACKS3S,es,,-!,oo,"oo
26;ATTACKS3S,2b,,-!,oo,"oo
27;ATTACKS3S,27,00,-1°00
28;ATTACKS3S,28,00,-1'o00
