frame;text
1;CATCH,o.oo,-1,00
2;CATCH,oo,oo
3;CATCH,2.00,-1,oo
4;CATCH,3,00,=-1,00
5;CATCH,4_o00,-1,00
6;CATCH,s_oo,=-1,oo
7;CATCH,boo,-1,oo
8;CATCH,7.00,-1,oo
9;CATCH,8.00,-1,00
10;CATCH,9_o00,-1,oo
11;CATCH,10,,-I,oo,"oo
12;CATCH
13;CATCH,12,,-I,oo,"oo
14;CATCH
15;CATCH,14,O00,-1*o00
16;CATCH,1S,,-I,oo,"oo
17;CATCH,Ib,,-1,oo,"oo
18;CATCH
19;CATCH,oo,"oo
20;CATCH,9,,-I,oo,"oo
21;CATCH,20,,-!,oo,"oo
22;CATCH
23;CATCH,22,,-!,oo,"oo
24;CATCH,23,,-!,oo,"oo
25;CATCH,24,,-I,oo,"oo
26;CATCH,es,,-!,oo,"oo
27;CATCH,2b,,-!,oo,"oo
28;CATCH,e7,,-1,oo,"oo
29;CATCH,28,,-!,oo,"oo
