frame;text
1;ATTACKAIRN,1.00,-1,oo
2;ATTACKAIRN,2.00,-1,oo
3;ATTACKAIRN,3,00,=-1,00
4;ATTACKAIRN,4_o00,-1,00
5;ATTACKAIRN,s_oo,=-1,oo
6;ATTACKAIRN,boo,-1,oo
7;ATTACKAIRN,7.00,-1,oo
8;ATTACKAIRN,8.00,-1,00
9;ATTACKAIRN,9_o00,-1,oo
10;ATTACKAIRN,10,00,-1'o0
11;ATTACKAIRN
12;ATTACKAIRN,12,,-I,oo,"oo
13;ATTACKAIRN
14;ATTACKAIRN,14,00,-1°00
15;ATTACKAIRN,1S,,-I,oo,"oo
16;ATTACKAIRN,Ib,,-1,oo,"oo
17;ATTACKAIRN
18;ATTACKAIRN,oo,"oo
19;ATTACKAIRN,9,,-I,oo,"oo
20;ATTACKAIRN,20,,-!,oo,"oo
21;ATTACKAIRN
22;ATTACKAIRN,22,,-!,oo,"oo
23;ATTACKAIRN,23,,-!,oo,"oo
24;ATTACKAIRN,24,,-I,oo,"oo
25;ATTACKAIRN,es,,-!,oo,"oo
26;ATTACKAIRN,2b,,-!,oo,"oo
27;ATTACKAIRN,e7,,-1,oo,"oo
28;ATTACKAIRN,28,,-!,oo,"oo
29;ATTACKAIRN,ea,,-1,oo,"oo
30;ATTACKAIRN,30,,-!,oo,"oo
31;ATTACKAIRN
32;ATTACKAIRN,32,,-!,oo,"oo
33;ATTACKAIRN,33,,-!,oo,"oo
34;ATTACKAIRN,34,-I,oo,"oo
35;ATTACKAIRN,3s,,-!,oo,"oo
36;ATTACKAIRN,3b,00,-1"oo
37;ATTACKAIRN,37,,-1,oo,"oo
38;ATTACKAIRN,38,,-!,oo,"oo
39;ATTACKAIRN,39,,-1,oo,"oo
40;ATTACKAIRN,4O.,-I,oo,"oo
41;ATTACKAIRN
42;ATTACKAIRN,42_00,-1'o00
43;ATTACKAIRN,43_00,-1°00
44;ATTACKAIRN,44,-1,_oo,oo
45;ATTACKAIRN,4S_00,-1°00
46;ATTACKAIRN,4b_00,-1°00
47;ATTACKAIRN,47,00,-1°00
