frame;text
1;Oo,341,O,SLEEP,eas,1.00,-1,oo,LR
2;Oo,341,O,SLEEP,eas,2.00,-1,oo,LR
3;Oo,341,O,SLEEP,eas,3,00,=-1,00,LR
4;Oo,341,O,SLEEP,eas,4_o00,-1,00,LR
5;Oo,341,O,SLEEP,eas,s_oo,=-1,oo,LR
6;Oo,341,O,SLEEP,eas,boo,-1,oo,LR
7;Oo,341,O,SLEEP,eas,7.00,-1,oo,LR
8;Oo,344,O,SLEEP,278,o.oo,-1,00,LR
9;Oo,344,O,SLEEP,278,1.00,-1,oo,LR
10;Oo,344,O,SLEEP,278,2.00,-1,oo,LR
11;Oo,344,O,SLEEP,278,3,00,=-1,00,LR
12;Oo,344,O,SLEEP,278,4_o00,-1,00,LR
13;Oo,344,O,SLEEP,278,s_oo,=-1,oo,LR
14;Oo,344,O,SLEEP,278,boo,-1,oo,LR
15;Oo,344,O,SLEEP,278,7.00,-1,oo,LR
16;Oo,344,O,SLEEP,278,8.00,-1,00,LR
17;Oo,344,O,SLEEP,278,9_o00,-1,oo,LR
18;Oo,344,O,SLEEP,278,10,,-I,oo,"oo,LR
19;Oo,344,O,SLEEP,278
20;Oo,344,O,SLEEP,278,12,,-I,oo,"oo,LR
21;Oo,344,O,SLEEP,278
22;344,298,14%,00,LR,o,O,SLEEP,-1"o0
23;Oo,344,O,SLEEP,278,1S,,-I,oo,"oo,LR
24;Oo,344,O,SLEEP,278,Ib,,-1,oo,"oo,LR
25;Oo,344,O,SLEEP,278
26;Oo,344,O,SLEEP,278,oo,"oo,LR
27;Oo,344,O,SLEEP,278,9,,-I,oo,"oo,LR
28;Oo,344,O,SLEEP,278,20,,-!,oo,"oo,LR
29;Oo,344,O,SLEEP,278
30;Oo,344,O,SLEEP,278,22,,-!,oo,"oo,LR
31;Oo,344,O,SLEEP,278,23,,-!,oo,"oo,LR
32;Oo,O,SLEEP,344,298,24.00,LR,-1'o0
33;Oo,344,O,SLEEP,278,es,,-!,oo,"oo,LR
34;Oo,344,O,SLEEP,278,2b,,-!,oo,"oo,LR
35;Oo,O,SLEEP,344,298,27,00,LR,-1'o0
36;Oo,344,O,SLEEP,278,28,,-ty,oo,oo,LR
37;Oo,O,SLEEP,344,298,29_00,LR,-1'o0
38;Oo,344,O,SLEEP,278,30,,-!,oo,"oo,LR
39;Oo,344,O,SLEEP,278
