frame;text
1;ESCAPEF,oo,oo,Ww
2;ESCAPEF,oo,oo,Ww
3;ESCAPEF,2.00,-1,oo
4;ESCAPEF,3,00,=-1,00
5;ESCAPEF,4_o00,-1,00
6;ESCAPEF,s_oo,=-1,oo
7;ESCAPEF,boo,-1,oo
8;ESCAPEF,7.00,-1,oo
9;ESCAPEF,8.00,-1,00
10;ESCAPEF,9_o00,-1,oo
11;10,00,ESCAPEF,19,99
12;ESCAPEF
13;ESCAPEF,12,,-I,oo,"oo
14;ESCAPEF
15;ESCAPEF,14,00,-1°00
16;ESCAPEF,1S,,-I,oo,"oo
17;ESCAPEF,Ib,-1",oo,"oo
18;ESCAPEF
19;*%,,ESCAPEF,oo,"oo
20;1900,ESCAPEF,14,99
21;ESCAPEF,20,,-ty,oo,oo
22;ESCAPEF
23;ESCAPEF,22,,-ty,oo,oo
24;ESCAPEF,23,,-!,oo,"oo
25;24,00,ESCAPEF,e400
26;ESCAPEF,es,,-ty,oo,oo
27;2b_00,ESCAPEF,2b,.90
28;27,00,ESCAPEF,27.90
29;ESCAPEF,28,,-ty,oo,oo
30;ESCAPEF,ea,,-1,oo,"oo
