frame;text
1;Oo,34a,O,SLEEP,303,1.00,-1,oo,LR
2;Oo,34a,O,SLEEP,303,2.00,-1,oo,LR
3;Oo,34a,O,SLEEP,303,3,00,=-1,00,LR
4;Oo,34a,O,SLEEP,303,4_o00,-1,00,LR
5;Oo,34a,O,SLEEP,303,s_oo,=-1,oo,LR
6;Oo,34a,O,SLEEP,303,boo,-1,oo,LR
7;Oo,34a,O,SLEEP,303,7.00,-1,oo,LR
8;Oo,34a,O,SLEEP,303,8.00,-1,00,LR
9;Oo,34a,O,SLEEP,303,9_o00,-1,oo,LR
10;Oo,O,SLEEP,344,303,10,00,LR,-1,00
11;Oo,34a,O,SLEEP,303
12;Oo,O,SLEEP,344,303,12,00,LR,-1,00
13;Oo,34a,O,SLEEP,303
14;349,303,14,00,LR,o,O,SLEEP,-1"o0
15;Oo,O,SLEEP,344,303,15,00,LR,-1,00
16;Oo,O,SLEEP,349,303,Ib,0O,LR,-!"o0
17;Oo,34a,O,SLEEP,303
18;Oo,O,SLEEP,344,303,16,00,LR,-1,00
19;Oo,O,SLEEP,349,303,19.00,LR,-1'o0
20;Oo,34a,O,SLEEP,303,20,,-ty,oo,oo,LR
21;Oo,34a,O,SLEEP,303
22;Oo,34a,O,SLEEP,303,22,,-ty,oo,oo,LR
23;Oo,34a,O,SLEEP,303,23,,-ty,oo,oo,LR
24;Oo,O,SLEEP,349,303,24.00,LR,-1'o0
25;Oo,34a,O,SLEEP,303,es,,-ty,oo,oo,LR
26;Oo,34a,O,SLEEP,303,es,,-ty,oo,oo,LR
27;Oo,34a,O,SLEEP,303,es,,-ty,oo,oo,LR
28;Oo,34a,O,SLEEP,303,es,,-ty,oo,oo,LR
29;Oo,34a,O,SLEEP,303,es,,-ty,oo,oo,LR
30;Oo,34a,O,SLEEP,303,es,,-!,oo,"oo,LR
31;Oo,34a,O,SLEEP,303,es,,-!,oo,"oo,LR
32;Oo,34a,O,SLEEP,303,es,,-!,oo,"oo,LR
33;Oo,34a,O,SLEEP,303,es,,-!,oo,"oo,LR
34;Oo,350,O,SLEEP,30S,o.oo,-1,00,LR
35;Oo,350,O,SLEEP,30S,1.00,-1,oo,LR
36;Oo,350,O,SLEEP,30S,2.00,-1,oo,LR
37;Oo,350,O,SLEEP,30S,3,00,=-1,00,LR
38;Oo,350,O,SLEEP,30S,4_o00,-1,00,LR
39;Oo,350,O,SLEEP,30S,s_oo,=-1,oo,LR
40;Oo,350,O,SLEEP,30S,boo,-1,oo,LR
41;Oo,350,O,SLEEP,30S,7.00,-1,oo,LR
42;Oo,350,O,SLEEP,30S,8.00,-1,00,LR
43;Oo,350,O,SLEEP,30S,9_o00,-1,oo,LR
44;Oo,O,SLEEP,350,30S,10,00,LR,-1,00
45;LR,o.oo,_oo,304
46;LR,oo,-1,oo,304
47;LR,2.00,_oo,304
48;LR,3,00,_oo,304
49;LR,oo,-1,oo,4,304
50;LR,s_oo,_oo,304
51;LR,boo,_oo,304
52;LR,oo,-1,oo,7,304
53;LR,8.00,_oo,304
54;LR,oo,-1,oo,q,304
55;LR,10,00,-1'o0,304
56;304
57;LR,12,00,-1'o0,304
58;304
59;LR,oo,-1'o0,14,304
60;LR,1S_o0,-1"o0,304
61;LR,oo,-1'o0,Ib,304
62;304
63;LR,18,00,-!"o0,304
64;LR,19_00,-1*o00,304
65;LR,20_00,-1'o0,304
66;304
67;LR,22.00,-'"o0,304
68;LR,_oo,-1"o0,23,304
69;LR,_oo,-1'o0,eu,304
70;LR,2s_o0,-1"oo0,304
71;LR,_oo,-!"oo,2b,304
72;LR,_oo,-1'o0,27,304
73;LR,28_00,-I"o0,304
74;LR,_oo,-1'o0,2a,304
