frame;text
1;ATTACKAIRHI,1.00,-1,oo
2;ATTACKAIRHI,2.00,-1,oo
3;ATTACKAIRHI,3,00,=-1,00
4;ATTACKAIRHI,4_o00,-1,00
5;ATTACKAIRHI,s_oo,=-1,oo
6;ATTACKAIRHI,boo,-1,oo
7;ATTACKAIRHI,7.00,-1,oo
8;ATTACKAIRHI,8.00,-1,00
9;ATTACKAIRHI,9_o00,-1,oo
10;ATTACKAIRHI,10,00,-1'o0
11;ATTACKAIRHI
12;ATTACKAIRHI,12,00,-1'oo
13;ATTACKAIRHI
14;ATTACKAIRHI,14,O00,-1*o00
15;ATTACKAIRHI,1S_o00,-1"o0
16;ATTACKAIRHI,I1b_OO0,-1'o0
17;ATTACKAIRHI
18;ATTACKAIRHI,18,00,-1'o0
19;ATTACKAIRHI,19_00,-1'o00
20;ATTACKAIRHI,20,,-ty,oo,oo
21;ATTACKAIRHI
22;ATTACKAIRHI,22,,-ty,oo,oo
23;ATTACKAIRHI,23,,-ty,oo,oo
24;ATTACKAIRHI,24,_o00,-1'o0
25;ATTACKAIRHI,es,,-ty,oo,oo
26;ATTACKAIRHI,2b,_00,-1'oo0
27;ATTACKAIRHI,27,00,-1'o0
28;ATTACKAIRHI,28,,-ty,oo,oo
29;ATTACKAIRHI,ea,,-1,oo,"oo
30;ATTACKAIRHI,30,,-ty,oo,oo
31;ATTACKAIRHI
32;ATTACKAIRHI,32,,-!,oo,"oo
33;ATTACKAIRHI,33,,-ty,oo,oo
34;ATTACKAIRHI,34,-I,oo,"oo
35;ATTACKAIRHI,3s,,-!,oo,"oo
36;ATTACKAIRHI,Bb.,-!,oo,"oo
37;ATTACKAIRHI,37,00,=17°00
38;ATTACKAIRHI,38,00,=1'o00
