frame;text
1;ATTACKHI4,1.00,-1,oo,LR
2;ATTACKHI4,1.00,-1,oo,LR
3;ATTACKHI4,2.00,-1,oo,LR
4;ATTACKHI4,3,00,=-1,00,LR
5;ATTACKHI4,4_o00,-1,00,LR
6;ATTACKHI4,s_oo,=-1,oo,LR
7;ATTACKHI4,boo,-1,oo,LR
8;ATTACKHI4,7.00,-1,oo,LR
9;ATTACKHI4,8.00,-1,00,LR
10;ATTACKHI4,9_o00,-1,oo,LR
11;ATTACKHI4,10,,-I,oo,"oo,LR
12;ATTACKHI4
13;ATTACKHI4,12,,-I,oo,"oo,LR
14;ATTACKHI4
15;ATTACKHI4,14,O00,-1*o00,LR
16;ATTACKHI4,1S_.o0,LR,-1'o0
17;ATTACKHI4,1b,OO,LR,-1,00
18;Oo,Oo,ATTACKHI4,SLEEP,ATTACKHI4
19;oo,1-,d3378,oO
20;oof1-,d3a3a1s,o
21;oof1-,d3a3a1s,o
22;hIHSADVLLIV,d3318,hHIHSADVLIV,Oo,Oo
23;oof1-,d3a3a1s,o
24;oof1-,d3a3a1s,o
25;oof1-,d3a3a1s,o
26;ATTACKHI4,«,es,,-ty,oo,oo,LR
27;ATTACKHI4,2b,_00,-1'oo0
28;ATTACKHI4,e7,,-1,oo,"oo,LR
29;ATTACKHI4,28,,-!,oo,"oo,LR
30;ATTACKHI4,ea,,-1,oo,"oo,LR
31;ATTACKHI4,30,,-!,oo,"oo,LR
32;ATTACKHI4
33;ATTACKHI4,32,,-!,oo,"oo,LR
34;ATTACKHI4,33,,-!,oo,"oo,LR
35;ATTACKHI4,34,-I,oo,"oo,LR
36;ATTACKHI4,3s,,-!,oo,"oo,LR
37;ATTACKHI4,Bb.,-!,oo,"oo,LR
38;ATTACKHI4,37,,-1,oo,"oo,LR
39;ATTACKHI4,38,,-!,oo,"oo,LR
40;ATTACKHI4,39,,-1,oo,"oo,LR
41;ATTACKHI4,40,00,LR,-1'o00
42;ATTACKHI4
43;ATTACKHI4,42,00,LR,-1'o00
44;ATTACKHI4,43,00,LR,-1'00
45;ATTACKHI4,44,-1,_oo,oo,LR
46;ATTACKHI4,45.00,LR,-1'00
