frame;text
1;ATTACKHI3,1.00,-1,oo
2;ATTACKHI3,2.00,-1,oo
3;ATTACKHI3,3,00,=-1,00
4;ATTACKHI3,4_o00,-1,00
5;ATTACKHI3,s_oo,=-1,oo
6;ATTACKHI3,boo,-1,oo
7;ATTACKHI3,7.00,-1,oo
8;ATTACKHI3,8.00,-1,00
9;ATTACKHI3,9_o00,-1,oo
10;ATTACKHI3,10,00,-1700
11;ATTACKHI3
12;ATTACKHI3,12,00,-1700
13;ATTACKHI3
14;ATTACKHI3,14,O00,-1*o00
15;ATTACKHI3,1S_o0,-1700
16;ATTACKHI3,1b,,Oo,-1700
17;ATTACKHI3
18;ATTACKHI3,18,00,-1700
19;ATTACKHI3,1900,-1'o0
20;ATTACKHI3,20,,-ty,oo,oo
21;ATTACKHI3
22;ATTACKHI3,22,,-ty,oo,oo
23;ATTACKHI3,23,,-ty,oo,oo
24;ATTACKHI3,24_o0,-1700
25;ATTACKHI3,es,,-ty,oo,oo
26;ATTACKHI3,2b_00,-1"'o00
27;ATTACKHI3,27,00,-1°00
28;ATTACKHI3,28,00,-1'o00
29;ATTACKHI3,29,00,=1"'00
30;ATTACKHI3,30,00,=1'o00
31;ATTACKHI3
32;ATTACKHI3,32,00,=1'o00
