frame;text
1;O,ATTACKDASH,ATTACKDASH,oo
2;O,ATTACKDASH,ATTACKDASH
3;O,ATTACKDASH,ATTACKDASH
4;O,ATTACKDASH,ATTACKDASH,_oo
5;O,ATTACKDASH,ATTACKDASH
6;O,ATTACKDASH,ATTACKDASH,_oo
7;O,ATTACKDASH,ATTACKDASH,_oo
8;O,ATTACKDASH,ATTACKDASH
9;O,ATTACKDASH,ATTACKDASH,_oo
10;O,ATTACKDASH,ATTACKDASH,10,00
11;O,ATTACKDASH,ATTACKDASH
12;O,ATTACKDASH,ATTACKDASH,12,00
13;O,ATTACKDASH,ATTACKDASH,13,00
14;O,ATTACKDASH,ATTACKDASH,14,00
15;O,ATTACKDASH,ATTACKDASH,1S_.o00
16;oo"41,HSvd>>VLLIV,HSvdyovilv,O
17;oo".21,HS,Vda,oVLIV,HSvdaovliv,O
18;O,ATTACKDASH,ATTACKDASH,16,00
19;O,ATTACKDASH,ATTACKDASH,19,00
20;O,ATTACKDASH,ATTACKDASH,20_00
21;O,ATTACKDASH,ATTACKDASH,el,_oo
22;O,ATTACKDASH,ATTACKDASH,22_00
23;O,ATTACKDASH,ATTACKDASH,23_00
24;O,ATTACKDASH,ATTACKDASH,2400
25;O,ATTACKDASH,ATTACKDASH,2s_o0
26;O,ATTACKDASH,ATTACKDASH,2b_00
27;O,ATTACKDASH,ATTACKDASH,e7,00
28;O,ATTACKDASH,ATTACKDASH,28_00
29;O,ATTACKDASH,ATTACKDASH,29,00
30;O,ATTACKDASH,ATTACKDASH,30,00
31;O,ATTACKDASH,ATTACKDASH,31,_oo
32;O,ATTACKDASH,ATTACKDASH,32,00
33;O,ATTACKDASH,ATTACKDASH,33,00
34;O,ATTACKDASH,ATTACKDASH,3400
35;O,ATTACKDASH,ATTACKDASH,3s_o00
36;O,ATTACKDASH,ATTACKDASH,3b,_00
37;O,ATTACKDASH,ATTACKDASH,37,00
38;O,ATTACKDASH,ATTACKDASH,38,00
39;O,ATTACKDASH,ATTACKDASH,39,00
40;O,ATTACKDASH,ATTACKDASH,40,00
41;O,ATTACKDASH,ATTACKDASH,4!
42;O,WALKMIDDLE,WALKMIDDLE,oo
