frame;text
1;O,3bb,oo
2;O,3bb
3;O,3bb
4;O,3bb,_oo
5;O,3bb
6;O,3bb,_oo
7;O,3bb,_oo
8;O,3bb
9;O,3bb,_oo
10;O,3bb,Bi,10,00
11;O,3bb,oo
12;O,3bb,Bi,12,00
13;O,3bb,Bi,13,00
14;O,3bb,Bll,14,00
15;O,3bb,Bi,1S_o00
16;O,3bb,Bi,1b,,00
17;O,3bb,Bi,17,00
18;O,3bb,Bi,18,00
19;O,3bb,Bi,19,00
20;O,3bb,Bi,20_00
21;O,3bb,el,_oo
22;O,3bb,Bi,22_00
23;O,3bb,Bi,23_00
24;O,3bb,Bi,24,00
25;O,3bb,Bi,2s_o0
26;O,3bb,Bi,2b_00
27;O,3bb,Bi,27,00
28;O,3b8,313,20,00
29;O,3b8,313,20,00
30;O,3b8,313,20,00
31;O,3b8,313,20,00
32;O,3b8,313,20,00
33;O,3b8,313,20,00
34;O,3b8,313,20,00
35;O,3b8,313,20,00
36;O,3b?
37;O,3b?,3Jle,1.00
38;O,3b7,B12,2,00
39;O,3b7,B12,3.00
40;O,3b?,3Jle,4,_o00
41;O,3b7,B12,s_oo
42;O,3b7,B12,b_oo
43;oo,312,O,3b?
44;O,3b7,B12,8,00
45;O,3b?,312,94,00
46;O,3b7,B12,10,00
47;O,3b7,B12,11,00
48;O,3b7,B12,12,00
49;O,3b7,B12,13,00
50;O,3b7,B12,14,00
51;O,3b7,B12,1S_o00
52;O,3b7,B12,1b,,00
53;O,3b7,B12,17,00
54;O,3b7,B12,18,00
55;O,3b7,B12,19,00
56;O,3b?,312,20,00
57;O,3b?,el,_oo
58;O,3b?,312,e2_.oo
59;O,3b?,312,23,00
60;o,7,3b,B12,24,00
61;O,3b?,312,25,00
62;O,3b7,B12,2b_00
63;o,7,3b,B12,27,00
64;O,3b?,312,28,00
65;o,7,3b,B12,29_00
66;O,3b?,312,30,00
67;O,3b?,31,_oo
68;O,3b?,312,32,00
69;O,3b?,312,33,00
70;o,7,3b,B12,34,oo
71;O,3b?,312,35,00
72;O,3b7,B12,3b,,00
73;o,7,3b,B12,37,00
74;O,3b?,312,38,00
75;o,7,3b,B12,39,00
