frame;text
1;O,CATCH,CATCH
2;O,CATCH,CATCH,oo
3;O,CATCH,CATCH
4;O,CATCH,CATCH
5;O,CATCH,CATCH,_oo
6;O,CATCH,CATCH
7;O,CATCH,CATCH,_oo
8;O,CATCH,CATCH,_oo
9;O,CATCH,CATCH
10;O,CATCH,CATCH,_oo
11;O,CATCH,CATCH,10,00
12;O,CATCH,CATCH
13;O,CATCH,CATCH,12,00
14;O,CATCH,CATCH,13,00
15;O,CATCH,CATCH,14,00
16;O,CATCH,CATCH,1S_o00
17;O,CATCH,CATCH,1b,,00
18;O,CATCH,CATCH,17,00
19;O,CATCH,CATCH,18,00
20;O,CATCH,CATCH,19_00
21;O,CATCH,CATCH,20_00
22;O,CATCH,CATCH,el,_oo
23;O,CATCH,CATCH,22_00
24;O,CATCH,CATCH,23_00
25;O,CATCH,CATCH,2400
26;O,CATCH,CATCH,2s_o0
27;O,CATCH,CATCH,2b_00
28;O,CATCH,CATCH,27,00
29;O,CATCH,CATCH,28_00,*
30;O,CATCH,CATCH,29,00
31;O,CATCH,CATCH,30,00
32;O,CATCH,CATCH,31,_oo
33;O,CATCH,CATCH,32,00
34;O,CATCH,CATCH,33,00
35;O,CATCH,CATCH,34,oo
36;O,CATCH,CATCH,3s_o00
37;O,CATCH,CATCH,3b,,00
38;O,CATCH,CATCH,37,00
39;O,CATCH,CATCH,38,00
40;O,CATCH,CATCH,3900
41;O,CATCH,CATCH,40_00
42;O,CATCH,CATCH,4!
43;O,CATCH,CATCH,42_00
44;O,CATCH,CATCH,43,00
45;O,CATCH,CATCH,4400
46;O,CATCH,CATCH,4S_00
47;O,CATCH,CATCH,4b_00
48;O,CATCH,CATCH,47,00
49;O,CATCH,CATCH,48.00,LR
50;O,CATCH,CATCH,49.00,LR
51;O,CATCH,CATCH,sO,00,LR
52;O,CATCH,CATCH,S!1,00,LR
53;O,CATCH,CATCH,S2,00,LR
54;O,CATCH,CATCH,53,00,LR
55;O,CATCH,CATCH,s4¥.00,LR
56;O,CATCH,CATCH,SS.00,LR
57;O,CATCH,CATCH,Sb.00,LR
58;O,CATCH,CATCH,S7,00,LR
59;O,CATCH,CATCH,58,00,LR
60;O,CATCH,CATCH,s9.00,LR
61;O,CATCH,CATCH,bO,00,=LR
62;O,CATCH,CATCH,bI,oo,LR
63;O,CATCH,CATCH,b2,.00,LR
64;O,CATCH,CATCH,b3,00,LR
65;O,CATCH,CATCH,bY,OO,LR
66;O,CATCH,CATCH,bS.00,LR
67;O,CATCH,CATCH,bb.0O0,LR
68;O,CATCH,CATCH,b7,00,LR
69;O,CATCH,CATCH,bB,00,LR
70;O,CATCH,CATCH,b9a_.00,LR
71;O,CATCH,CATCH,70,00,LR
72;O,CATCH,CATCH,71,00,LR
73;O,CATCH,CATCH,72,00,LR
74;O,CATCH,CATCH,73,00,LR
75;O,CATCH,CATCH,74.00,LR
76;O,CATCH,CATCH,75,00,LR
77;O,CATCH,CATCH,76,00,LR
78;O,CATCH,CATCH,77,00,LR
