frame;text
1;Oo,34b,eas,oo
2;Oo,34b,eas
3;Oo,34b,eas
4;Oo,34b,eas,_oo
5;Oo,34b,eas
6;Oo,34b,eas,_oo
7;Oo,34b,eas,_oo
8;Oo,34b,eas
9;Oo,34b,eas,_oo
10;O,34%b,295,10,00
11;Oo,34b,eas,oo
12;O,34%b,295,12,00
13;O,34%b,295,13,00
14;O,34%b,295,14,00
15;O,34%b,295,1S_o00
16;O,34%b,295,1b,,00
17;O,34%b,295,17,00
18;O,34%b,295,18,00
19;O,34%b,295,19,00
20;Oo,34b,e955,20,00
21;Oo,34b,eas,el,_oo
22;Oo,34b,e955,e2_.oo
23;Oo,34b,e955,23,00
24;O,34%b,295,24,00
25;Oo,34b,e955,25,00
26;O,34%b,295,2b_00
27;O,34%b,295,27,00
28;Oo,34b,e955,28,00
29;O,34%b,295,29_00
30;Oo,34b,e955,30,00
31;Oo,34b,eas,31,_oo
32;Oo,34b,e955,32,00
33;Oo,34b,e955,33,00
34;O,34%b,295,34,oo
35;Oo,34b,e955,35,00
36;O,34%b,295,3b,,00
37;O,34%b,295,37,00
38;Oo,34b,e955,38,00
