frame;text
1;O,3b4,309,oo
2;O,3b4,309
3;O,3b4,309
4;oo,309,O,3b4
5;O,3b4,309
6;oo,309,O,3b4
7;oo,309,O,3b4
8;O,3b4,309
9;O,3b4,309,_oo
10;oo"o1,bOE,hoe,O
11;oo,309,O,3b4
12;oo"?!,bOE,hoe,O
13;O,3b4,309,13,00
14;a,4,3b,309,14%,00
15;O,3b4,309,1S_o00,-,.,ee,,',..,®,"6,.,.*,aa,.,a,er,|
16;O,3b4,309,1b,,00,.,.,:,oe, s,.,.,*.,.,.,..,.*,she,,".,.,.*,.,.*,Sey,.,_™.,.,ose
17;O,3b4,309,17,00,oo,.,eee,s,es,.,*,.,.,.,.,.,bed,.,Baty,.,»,“4,.,:,.,.,*,2",»"s,.,s.
18;a,4,3b,309,18,00
19;a,4,3b,309,19,00
20;O,3b4,309,20,00
21;O,3b4,309,el,_oo
22;O,3b4,309,e2_.oo
23;O,3b4,309,23,00
24;O,3b4,3b,309,24,00
25;O,3b4,309,25,00
26;O,3b4,309,2b_00
27;O,3b4,3b,309,27,00
28;O,3b4,309,28,00
29;O,3b4,3b,309,29_00
30;O,3b4,309,30,00
31;O,3b4,309,31,_oo
32;O,3b4,309,32,00
33;O,3b4,309,33,00
34;O,3b4,3b,309,34,oo
35;O,3b4,309,35,00
36;O,3b4,309,3b,,00
37;O,3b4,3b,309,37,00
38;O,3b4,309,38,00
39;O,3b4,3b,309,39,00
40;a,4,3b,309,40,00
41;O,3b4,309,4!,oo
42;a,4,3b,309,42,00
43;a,4,3b,309,43,00
44;a,4,3b,309,4400
45;a,4,3b,309,45,00
46;O,3b4,3b,309,4b_00
47;a,4,3b,309,47,00
48;a,4,3b,309,48,00
49;a,4,3b,309,4900
50;O,3b4,309,so_.o00
51;O,3b4,3b,309,S100
52;O,3b4,309,se_oo
53;
