frame;text
1;Oo,357,309,oo
2;Oo,357,309
3;Oo,357,309
4;Oo,357,309,_oo
5;Oo,357,309,_oo
6;Oo,357,309,_oo
7;Oo,357,309,_oo
8;
9;
10;
11;
12;oO,357,309,12,00
13;
14;oO,3s7,309,14%,00
15;oO,357,309,1S_o00
16;oO,357,309,1b,,00
17;oO,3s7,309,17,00
18;oO,357,309,18,00
19;oO,3s7,309,19,00
20;Oo,357,309,20,00
21;Oo,357,309,el,_oo
22;Oo,357,309,e2_.oo
23;Oo,357,309,23,00
24;a,3s7,309,2400
25;Oo,357,309,25,00
26;oO,357,309,2b_00
27;o,7,3s,309,27,00
28;Oo,357,309,28,00
29;o,7,3s,309,29_00
30;Oo,357,309,30,00
31;Oo,357,309,31,_oo
32;Oo,357,309,32,00
33;Oo,357,309,33,00
34;a,3s7,309,3400
35;Oo,357,309,35,00
36;oO,357,309,3b,,00
37;o,7,3s,309,37,00
38;Oo,357,309,38,00
39;_oo,39,309,Oo,357
40;oO,357,309,40_00
41;Oo,357,309,4!,oo
42;oO,357,309,42_00
43;oO,357,309,43,00
44;oO,3s7,309,4400
45;oO,357,309,4S_00
46;oO,357,309,4b_00
47;oO,3s7,309,47,00
48;oO,357,309,48_00
49;oO,3s7,309,4900
50;Oo,357,309,so_.o00
51;Oo,357,309,si,_oo
52;Oo,357,309,se_oo
53;Oo,357,309,$3,000
54;a,3s7,309,s+¥_o0
55;Oo,357,309,ss_oo
56;oO,357,309,Sb_oo
57;o,7,3s,309,s?7_00
58;Oo,357,309,s6_.o00
59;o,7,3s,309,s9_o00
60;oO,357,309,bo_oo
61;Oo,357,309,BI,_oo
62;oO,357,309,b2_o00
63;oO,357,309,b3_00
64;o,7,3s,309,bY,oo
65;oO,357,309,bS_oo
66;oO,357,309,bb_,oo
67;o,7,3s,309,b?_00
68;oO,357,309,be_,oo
69;o,7,3s,309,b9_00
70;oO,3s7,309,70,00
71;Oo,357,309,a,|,_oo
72;oO,3s7,309,72,00
73;oO,3s7,309,73,00
74;oO,3s7,309,74_00
75;oO,3s7,309,75,00
76;oO,357,309,76,00
77;Oo,357,309,77,00
78;oO,3s7,309,78,00
79;Oo,357,309,79,00
