frame;text
1;O,ATTACKAIRG,ATTACKAIRG,oo
2;O,ATTACKAIRG,ATTACKAIRG
3;O,ATTACKAIRG,ATTACKAIRG
4;O,ATTACKAIRG,ATTACKAIRG,_oo
5;O,ATTACKAIRG,ATTACKAIRB
6;O,ATTACKAIRG,ATTACKAIRB,_oo
7;O,ATTACKAIRG,ATTACKAIRB,_oo
8;O,ATTACKAIRG,ATTACKAIRB
9;O,ATTACKAIRG,ATTACKAIRB,_oo
10;O,ATTACKAIRG,ATTACKAIRG,10,00
11;O,ATTACKAIRG,ATTACKAIRG,oo
12;O,ATTACKAIRG,ATTACKAIRG,12,00
13;O,ATTACKAIRG,ATTACKAIRG,13,00
14;O,ATTACKAIRG,ATTACKAIRG,14,00
15;O,ATTACKAIRG,ATTACKAIRG,15,00
16;O,ATTACKAIRG,ATTACKAIRG,1b,00
17;O,ATTACKAIRG,ATTACKAIRG,17,00
18;O,ATTACKAIRG,ATTACKAIRB,16,00
19;O,ATTACKAIRG,ATTACKAIRB,19,00
20;O,ATTACKAIRG,ATTACKAIRB,20,00
21;O,ATTACKAIRG,ATTACKAIRB,el,_oo
22;oo"ze,BUIVADVLLV,BMIVaADVLIV,Oo
23;oo"cea,BUIVADVLLV,BMIVaADVLIV,Oo
24;O,ATTACKAIRG,ATTACKAIRG,e4,oo
25;O,ATTACKAIRG,ATTACKAIRG,25,00
26;O,ATTACKAIRG,ATTACKAIRG,2b_00
27;O,ATTACKAIRG,ATTACKAIRG,e7,00
28;O,ATTACKAIRG,ATTACKAIRG,28,00
29;O,ATTACKAIRG,ATTACKAIRG,29,00
30;O,ATTACKAIRG,ATTACKAIRG,30,00
31;O,ATTACKAIRG,ATTACKAIRG,31,_oo
32;O,ATTACKAIRG,ATTACKAIRG,32,00
33;O,ATTACKAIRG,ATTACKAIRG,33,00
34;O,ATTACKAIRG,ATTACKAIRG,34,_o00
35;O,ATTACKAIRG,ATTACKAIRG,35,00
36;O,ATTACKAIRG,ATTACKAIRG,3b,_00
37;O,ATTACKAIRG,ATTACKAIRG,37,00
38;O,ATTACKAIRG,ATTACKAIRG,38,00
