frame;text
1;O,CATCHDASH,CATCHDASH
2;O,CATCHDASH,CATCHDASH,oo
3;O,CATCHDASH,CATCHDASH
4;O,CATCHDASH,CATCHDASH
5;O,CATCHDASH,CATCHDASH,_oo
6;O,CATCHDASH,CATCHDASH
7;O,CATCHDASH,CATCHDASH,_oo
8;O,CATCHDASH,CATCHDASH,_oo
9;O,CATCHDASH,CATCHDASH
10;O,CATCHDASH,CATCHDASH,_oo
11;O,CATCHDASH,CATCHDASH,10,00
12;O,CATCHDASH,CATCHDASH,oo
13;O,CATCHDASH,CATCHDASH,12,00
14;O,CATCHDASH,CATCHDASH,13,00
15;O,CATCHDASH,CATCHDASH,14,00
16;O,CATCHDASH,CATCHDASH,15,00
17;O,CATCHDASH,CATCHDASH,1b,00
18;O,CATCHDASH,CATCHDASH,17,00
19;O,CATCHDASH,CATCHDASH,18,00
20;O,CATCHDASH,CATCHDASH,19,00
21;O,CATCHDASH,CATCHDASH,20,00
22;O,CATCHDASH,CATCHDASH,21,00
23;O,CATCHDASH,CATCHDASH,e2_.oo
24;O,CATCHDASH,CATCHDASH,23,00
25;O,CATCHDASH,CATCHDASH,24,00
26;O,CATCHDASH,CATCHDASH,2s_o0
27;O,CATCHDASH,CATCHDASH,2b_00
28;O,CATCHDASH,CATCHDASH,e7,00
29;oo"B2,HSVdHILVD,HSVdHOLv>D,O
30;O,CATCHDASH,CATCHDASH,29,00
31;00,"OE,HSVdHILVD,HSVdHOLv>D,O
32;oo,1E,HSVdHILVD,HSVdHOLv>D,O
33;O,CATCHDASH,CATCHDASH,32,00
34;00,"cE,HSVWdHDLV>,HSVdHDLV>,O
35;O,CATCHDASH,CATCHDASH,34,_o00
36;O,CATCHDASH,CATCHDASH,3s_o00
37;00,"Se,HSVdHILVD,HSVdHOLv>D,O
38;oo,"ze,HSVdHILVD,HSVdHOLv>D,O
39;O,CATCHDASH,CATCHDASH,38,00
40;00,"bE,HSVdHILVD,HSVdHOLv>D,O
41;O,CATCHDASH,CATCHDASH,40,00,Ue,Qerocoa-,<>
42;oo,th,HSVdHILVD,HSVdHOLv>D,O
43;oo"21,HSVdHILVD,HSVdHOLv>D,O
44;O,CATCHDASH,CATCHDASH,43,00
45;OO"hH,HSVdHILVD,HSVdHOLv>D,O
46;O,CATCHDASH,CATCHDASH,4+S_00,AS,OQroco-,<>
47;O,CATCHDASH,CATCHDASH,4b_00
48;oo"2h,HSVWdHDLV>,HSVdHDLV>,O
49;O,CATCHDASH,CATCHDASH,48_00
50;O,CATCHDASH,CATCHDASH,49,00
51;O,CATCHDASH,CATCHDASH,so_oo
52;O,CATCHDASH,CATCHDASH,s!1.00
53;oo"es,HSVWdHDLV>,HSVdHDLV>,O
54;O,CATCHDASH,CATCHDASH,s3_00
55;O,CATCHDASH,CATCHDASH,s4¥_o0o
56;O,CATCHDASH,CATCHDASH,ss_oo
57;O,CATCHDASH,CATCHDASH,Sb_oOo
58;O,CATCHDASH,CATCHDASH,s7_o00
59;O,CATCHDASH,CATCHDASH,s6_.o00
60;O,CATCHDASH,CATCHDASH,$900
61;O,CATCHDASH,CATCHDASH,bO_oOO0
62;O,CATCHDASH,CATCHDASH,BI,_oo
63;O,CATCHDASH,CATCHDASH,be,_oo
64;O,CATCHDASH,CATCHDASH,63,00
65;O,CATCHDASH,CATCHDASH,bY,OO
66;oo"sa,HSVWdHDLV>,HSVdHDLV>,O
67;O,CATCHDASH,CATCHDASH,bb,_OO
68;O,CATCHDASH,CATCHDASH,b7_oOO0
69;O,CATCHDASH,CATCHDASH,be,oOo
70;O,CATCHDASH,CATCHDASH,69,00
71;O,CATCHDASH,CATCHDASH,70,00
72;O,CATCHDASH,CATCHDASH,a,|,_oo
73;O,CATCHDASH,CATCHDASH,72,00
74;O,CATCHDASH,CATCHDASH,73,00
75;O,CATCHDASH,CATCHDASH,74,oO
76;O,CATCHDASH,CATCHDASH,75,00
77;O,CATCHDASH,CATCHDASH,7b_,O00
78;O,CATCHDASH,CATCHDASH,77,00
79;O,CATCHDASH,CATCHDASH,78,00
80;O,CATCHDASH,CATCHDASH,79,00
81;O,CATCHDASH,CATCHDASH,60,00
82;O,CATCHDASH,CATCHDASH,_oo
83;O,CATCHDASH,CATCHDASH,Be,_oo
84;O,CATCHDASH,CATCHDASH,63,00
85;O,CATCHDASH,CATCHDASH,a4,_oo
86;O,CATCHDASH,CATCHDASH,=
87;O,CATCHDASH,CATCHDASH,8b,_oOo0
88;O,CATCHDASH,CATCHDASH,ea7_o00
89;O,CATCHDASH,CATCHDASH,66.00
90;O,CATCHDASH,CATCHDASH,69,00
91;O,CATCHDASH,CATCHDASH,90,00
92;O,CATCHDASH,CATCHDASH,a1,_oo
93;O,CATCHDASH,CATCHDASH,92,00
94;O,CATCHDASH,CATCHDASH,93,00
