frame;text
1;O,ATTACKLW4,ATTACKLW4,oo,LR
2;O,ATTACKLW4,ATTACKLW4,oo,LR
3;O,ATTACKLW4,ATTACKLW4,LR
4;O,ATTACKLW4,ATTACKLW4,LR
5;O,ATTACKLW4,ATTACKLW4,_oo,LR
6;O,ATTACKLW4,ATTACKLW4
7;O,ATTACKLW4,ATTACKLW4,_oo
8;O,ATTACKLW4,ATTACKLW4,_oo
9;O,ATTACKLW4,ATTACKLW4
10;O,ATTACKLW4,ATTACKLW4,_oo
11;O,ATTACKLW4,ATTACKLW4,10,00
12;O,ATTACKLW4,ATTACKLW4
13;O,ATTACKLW4,ATTACKLW4,12,00
14;O,ATTACKLW4,ATTACKLW4,13,00
15;O,ATTACKLW4,ATTACKLW4,14,00
16;O,ATTACKLW4,ATTACKLW4,15,00
17;O,ATTACKLW4,ATTACKLW4,1b,00
18;O,ATTACKLW4,ATTACKLW4,17,00
19;O,ATTACKLW4,ATTACKLW4,16,00
20;O,ATTACKLW4,ATTACKLW4,19,00
21;O,ATTACKLW4,ATTACKLW4,20,00
22;O,ATTACKLW4,ATTACKLW4,el,_oo
